term	Topic	Freq	Term
504	3	0.7272727272727273	assign
711	3	1.0	network
741	3	1.0	estim
969	3	0.14035087719298245	presenc
17	3	0.28	antiplatelet
51	3	0.5384615384615384	revers
857	3	1.0	albumin
43	3	0.1276595744680851	symptom
207	3	0.2727272727272727	vari
467	3	0.20689655172413793	inter
903	3	0.2222222222222222	booster
905	3	0.21428571428571427	reserv
935	3	0.11764705882352941	world
1139	3	0.5	kawasaki
77	3	0.29411764705882354	injur
212	3	0.25	analys
242	3	1.0	interv
293	3	0.3125	cardiovascular
578	3	0.11363636363636363	inflamm
928	3	0.45454545454545453	cancer
993	3	0.13513513513513514	preval
1000	3	0.3333333333333333	intak
1024	3	0.4166666666666667	comparison
1149	3	0.7142857142857143	general
1156	3	0.2777777777777778	gluten
6	3	0.1111111111111111	chronic
87	3	0.14814814814814814	generic
160	3	0.6666666666666666	untreat
269	3	0.07142857142857142	state
301	3	0.26666666666666666	matter
379	3	0.6666666666666666	gastroenter
381	3	0.04878048780487805	hale
457	3	0.09090909090909091	wheez
538	3	0.21052631578947367	quinacrin
676	3	0.21052631578947367	adenosin
866	3	1.0	lose
888	3	1.0	fulvestr
6	4	0.3333333333333333	chronic
1182	4	0.5454545454545454	meta
781	4	0.07086614173228346	histolog
1097	4	0.391304347826087	thrombosi
201	4	0.4	entri
956	4	0.6666666666666666	increas
57	4	0.7777777777777779	rvmp
269	4	0.12500000000000003	state
349	4	0.368421052631579	overview
378	4	0.5833333333333334	materi
482	4	0.30434782608695654	read
972	4	0.7777777777777779	review
1013	4	0.5833333333333334	protect
1233	4	0.11290322580645162	provid
148	4	0.2222222222222222	vasc
186	4	0.5454545454545454	appoint
246	4	0.75	dysfunct
583	4	0.3333333333333333	clinic
693	4	0.2727272727272727	maximum
905	4	0.21428571428571427	reserv
1056	4	0.2608695652173913	ctca
1156	4	0.3333333333333333	gluten
20	4	0.7142857142857143	site
77	4	0.29411764705882354	injur
181	4	0.23809523809523808	tomograph
197	4	0.21739130434782608	abciximab
207	4	0.22727272727272727	vari
334	4	0.8333333333333334	repeat
400	4	0.3333333333333333	england
469	4	0.17857142857142858	infant
485	4	0.625	occur
495	4	0.8333333333333334	event
641	4	0.3125	particul
729	4	0.2631578947368421	york
772	4	1.0	deriv
803	4	0.8333333333333334	session
824	4	0.11904761904761904	losartan
868	4	0.8333333333333334	multi
877	4	0.5	dysphas
954	4	0.8333333333333334	fals
1018	4	0.7142857142857143	isoveloc
1021	4	0.8333333333333334	medium
1103	4	0.625	flutter
1140	4	0.3125	dihydrocodein
1148	4	0.07042253521126761	tabl
0	4	1.0	enoxaparin
24	4	0.4	arginin
32	4	0.21052631578947367	implant
71	4	0.3076923076923077	complic
224	4	0.5714285714285714	blundel
781	5	0.2047244094488189	histolog
43	5	0.3404255319148936	symptom
930	5	0.48484848484848486	lobe
869	5	0.4642857142857143	undergo
467	5	0.3793103448275862	inter
578	5	0.25	inflamm
687	5	0.4583333333333333	elig
838	5	0.5263157894736842	terminolog
269	5	0.16071428571428573	state
672	5	0.24324324324324326	ischem
13	5	0.36363636363636365	accord
469	5	0.2857142857142857	infant
756	5	0.3333333333333333	south
1147	5	0.47058823529411764	prospect
1197	5	0.34782608695652173	oper
197	5	0.30434782608695654	abciximab
349	5	0.3684210526315789	overview
482	5	0.30434782608695654	read
655	5	0.4666666666666667	long
1187	5	0.30434782608695654	cathet
348	5	0.3333333333333333	separ
577	5	0.3157894736842105	schedul
685	5	0.75	enzym
1145	5	0.5454545454545454	uptak
1163	5	0.75	util
514	5	0.29411764705882354	intervent
693	5	0.22727272727272727	maximum
1182	5	0.22727272727272727	meta
71	5	0.3076923076923077	complic
152	5	0.21052631578947367	procedur
201	5	0.2	entri
381	5	0.04878048780487805	hale
400	5	0.26666666666666666	england
419	5	0.26666666666666666	cost
667	5	1.0	parent
674	5	0.3076923076923077	section
952	5	1.0	exposur
958	5	0.23529411764705882	prioriti
1097	5	0.17391304347826086	thrombosi
1135	5	0.23529411764705882	common
1156	5	0.2222222222222222	gluten
1200	5	0.2222222222222222	capsular
6	5	0.08333333333333333	chronic
21	5	0.42857142857142855	deliv
150	5	0.75	timepoint
176	5	0.375	special
186	5	0.2727272727272727	appoint
212	5	0.15	analys
214	5	0.3	mammographi
236	5	0.21428571428571427	wors
781	6	0.28346456692913385	histolog
679	6	0.3333333333333333	reimburs
239	6	0.20754716981132076	regress
578	6	0.20454545454545456	inflamm
935	6	0.17647058823529413	world
958	6	0.5294117647058824	prioriti
43	6	0.1702127659574468	symptom
693	6	0.36363636363636365	maximum
825	6	0.42105263157894735	thrombolysi
969	6	0.14035087719298245	presenc
6	6	0.19444444444444445	chronic
13	6	0.3181818181818182	accord
469	6	0.25	infant
824	6	0.16666666666666666	losartan
900	6	0.6363636363636364	seri
41	6	1.0	astec
65	6	1.0	apo
214	6	0.6	mammographi
332	6	0.46153846153846156	spect
399	6	0.3157894736842105	dimension
457	6	0.13636363636363635	wheez
482	6	0.2608695652173913	read
514	6	0.35294117647058826	intervent
702	6	0.5	atrial
756	6	0.25	south
947	6	1.0	plasma
1003	6	0.3157894736842105	systol
1125	6	0.42857142857142855	receipt
77	6	0.29411764705882354	injur
152	6	0.2631578947368421	procedur
211	6	0.45454545454545453	decad
221	6	0.625	admiss
269	6	0.08928571428571429	state
320	6	0.5	slope
390	6	0.8333333333333334	snps
548	6	0.625	hospit
619	6	0.45454545454545453	variabl
676	6	0.2631578947368421	adenosin
862	6	0.5555555555555556	regurgit
869	6	0.17857142857142858	undergo
881	6	0.8333333333333334	crisi
957	6	0.7142857142857143	compris
993	6	0.13513513513513514	preval
1075	6	0.17857142857142858	expect
1095	6	0.8333333333333334	role
87	6	0.14814814814814814	generic
164	6	0.12121212121212122	cava
195	6	0.8	predictor
197	6	0.17391304347826086	abciximab
227	6	0.8	white
969	7	0.4561403508771929	presenc
239	7	0.2641509433962264	regress
993	7	0.3513513513513513	preval
781	7	0.09448818897637795	histolog
1074	7	0.35714285714285715	origin
316	7	0.4090909090909091	coliti
399	7	0.47368421052631576	dimension
1184	7	0.391304347826087	survivor
1233	7	0.14516129032258066	provid
837	7	0.42105263157894735	niddm
550	7	0.4666666666666667	media
1217	7	0.4666666666666667	quantifi
6	7	0.16666666666666666	chronic
164	7	0.18181818181818182	cava
304	7	0.2857142857142857	practic
416	7	0.375	multipl
935	7	0.11764705882352941	world
1003	7	0.3157894736842105	systol
1046	7	0.2222222222222222	respons
155	7	0.7142857142857143	subject
469	7	0.17857142857142858	infant
676	7	0.2631578947368421	adenosin
825	7	0.2631578947368421	thrombolysi
1188	7	0.35714285714285715	chang
17	7	0.16	antiplatelet
43	7	0.0851063829787234	symptom
87	7	0.14814814814814814	generic
269	7	0.07142857142857142	state
419	7	0.26666666666666666	cost
679	7	0.1111111111111111	reimburs
702	7	0.3333333333333333	atrial
903	7	0.14814814814814814	booster
930	7	0.12121212121212122	lobe
1000	7	0.26666666666666666	intak
1072	7	0.3333333333333333	polymorph
1127	7	0.8	cerebellar
1227	7	0.23529411764705882	complet
8	7	0.75	area
71	7	0.23076923076923078	complic
91	7	1.0	echo
178	7	0.75	reproduct
212	7	0.15	analys
236	7	0.21428571428571427	wors
253	7	1.0	coverag
260	7	0.5	acid
320	7	0.3	slope
322	7	0.75	later
331	7	1.0	includ
408	7	0.42857142857142855	platelet
451	7	0.75	influenza
1233	8	0.27419354838709675	provid
164	8	0.3333333333333333	cava
1046	8	0.37037037037037035	respons
679	8	0.25	reimburs
32	8	0.42105263157894735	implant
935	8	0.13725490196078433	world
152	8	0.3157894736842105	procedur
312	8	0.6	persist
332	8	0.46153846153846156	spect
591	8	0.6	anticoagul
824	8	0.14285714285714285	losartan
993	8	0.16216216216216217	preval
87	8	0.14814814814814814	generic
117	8	1.0	safeti
181	8	0.19047619047619047	tomograph
286	8	1.0	whoda
349	8	0.21052631578947367	overview
583	8	0.2222222222222222	clinic
717	8	0.8	lung
969	8	0.07017543859649122	presenc
1074	8	0.14285714285714285	origin
1188	8	0.2857142857142857	chang
17	8	0.12	antiplatelet
148	8	0.1111111111111111	vasc
212	8	0.15	analys
248	8	0.3333333333333333	balloon
269	8	0.05357142857142857	state
457	8	0.06818181818181818	wheez
584	8	0.2727272727272727	disord
675	8	0.75	leukaemia
795	8	0.15789473684210525	dupilumab
1088	8	0.75	item
1187	8	0.13043478260869565	cathet
1227	8	0.17647058823529413	complet
7	8	0.2222222222222222	record
24	8	0.2	arginin
37	8	1.0	partial
43	8	0.0425531914893617	symptom
56	8	1.0	asia
107	8	1.0	eoai
138	8	0.25	extent
147	8	1.0	cerebrovascular
168	8	1.0	majorbleed
175	8	1.0	covari
176	8	0.25	special
201	8	0.1	entri
204	8	0.6666666666666666	vessel
236	8	0.14285714285714285	wors
239	8	0.03773584905660377	regress
273	8	0.6666666666666666	pattern
