term	Category	Freq	Term	Total	loglift	logprob
1291	Default	0.99	varying	3.7225264538381495	10.6181541162487	10.6181541162487
1260	Topic1	7.291924966571356	Echocardiographic	86.19374650875072	0.5978161761032506	0.07400571976798344
514	Topic1	4.955805210136105	followed-up	5.324074734148212	0.9954010177716777	0.050296448919508546
1447	Topic1	3.78778468067224	Serum-antibody	3.9734800188492923	0.9969611724101584	0.0384422128456288
1531	Topic1	3.734065344193444	smear-positive,	6.8015271010344875	0.9514067900734043	0.037897015496534146
787	Topic1	3.306470623110935	Size,	27.149860884069582	0.6904417013382597	0.03355735823898281
1160	Topic1	3.100399753204782	race-specific	5.614392904121927	0.9520048181814202	0.031465945735352774
856	Topic1	2.6221826190752946	85)	2.6221826190752946	1.0	0.026612521793269107
223	Topic1	2.4582916387484155	respiratory	8.701986118426188	0.8636220764910486	0.024949192834431224
1403	Topic1	2.3576238068442135	579	3.592384321414462	0.968464197061013	0.023927515377284287
922	Topic1	2.320615882820654	Cut-Off	51.95544430282967	0.4292162960463413	0.02355192209196693
860	Topic1	2.143342133360815	Blood	4.837919220230055	0.9275019940568022	0.021752771458233334
1814	Topic1	1.9368575146162028	lung,	29.57746492772543	0.5298623286919366	0.019657159819157766
1185	Topic1	1.9163967056853666	cardiac-death	2.6223121011223594	0.9776104597465892	0.019449503144287488
1186	Topic1	1.781730099348362	Vessel	2.796325249706489	0.9658057752609515	0.018082772249994186
755	Topic1	1.6118726445905254	Pericarditis	2.622125485649025	0.9624932738821743	0.016358889564017785
556	Topic1	1.6100783941359968	Lumen,	7.121952093548371	0.8245073723007034	0.016340679722728946
1838	Topic1	1.5011200745840851	Genetic	28.490504072345168	0.4721734675070821	0.015234862136821908
381	Topic1	1.3192182099369756	Efficacy	2.750531813428051	0.9368054441727136	0.013388740779010222
1835	Topic1	1.3050325732823929	Percentile	2.7653103301046857	0.934954578911856	0.013244770804579304
1767	Topic1	1.1748293259083775	34	3.863778780278906	0.8754229892960341	0.011923338524047544
1324	Topic1	1.1656020615969456	index,	22.341212755687405	0.469587205807369	0.011829691052359701
1977	Topic1	1.1360413624385621	(Derivation	29.623282277688045	0.39076546295573955	0.011529679624912212
226	Topic1	1.0405911726480428	CIN2	90.33005740773417	0.15785388098485081	0.010560955998459512
1267	Topic1	1.0358930108292537	Operative	7.74019624656896	0.713066677861037	0.010513274371374767
933	Topic1	1.0077548229948017	Treatment)	1.4882167812628366	0.9712107918586048	0.010227700006141762
855	Topic1	0.961477916365015	Lipid	3.195565967404679	0.8737680653232848	0.009758035850315509
1031	Topic1	0.9315775217309349	31,	7.370688747235242	0.6994214564934458	0.00945457685472983
1172	Topic1	0.846428796355962	1999:	5.355428341159683	0.7511969604478469	0.008590402752885754
1569	Topic1	0.7632251062930511	ownership,	3.140668956128314	0.8377501721606555	0.007745968807297141
772	Topic1	0.7236067977499789	wheeze	1.150383493046616	0.9646271825895527	0.007343882739055723
1162	Topic1	0.706951580825384	(SP)	1.3875052956772669	0.9435272072807134	0.007174849003513037
1914	Topic1	0.6541002307706911	(EBRT)	3.1067169051397903	0.8109447510646245	0.006638460845456291
1279	Topic1	0.6431063817365448	ST2	16.083497824947894	0.4011630941315689	0.00652688431189041
1850	Topic1	0.6342747777158466	sections	0.9310637097805728	0.9717298633749625	0.006437252395043503
640	Topic1	0.6138588683549757	Thickness,	0.6138588683549757	1.0	0.006230051405744298
1511	Topic1	0.6138588683549757	liver,	0.6138588683549757	1.0	0.006230051405744298
480	Topic1	0.6107265359604465	Size	1.1030924998777774	0.9522676975233466	0.0061982613757491445
776	Topic1	0.5569294341774879	open-label	1.6977302196951847	0.8870307111207719	0.005652274786867483
799	Topic1	0.5494650592138206	agencies,	6.173227356235996	0.611114603093846	0.005576518872710835
867	Topic1	0.5172612419124244	Summary	0.5172612419124244	1.0	0.0052496824489143504
222	Topic1	0.5100257586348385	all-cause,	1.0401240326284107	0.9393010490435627	0.0051762495556410765
1671	Topic1	0.4541241452319315	()	2.200983367724743	0.8069958263458029	0.004608904286039529
428	Topic1	0.4442166744525906	Health	1.1600785949607169	0.9089296942112032	0.004508353401401156
146	Topic1	0.44182468798597135	Deaths	0.44182468798597135	1.0	0.0044840771395157205
217	Topic1	0.4418246879859714	100000	1.7040965981325402	0.8491635269622265	0.0044840771395157205
424	Topic1	0.44182468798597146	Assigned	1.803046873662566	0.839240212726502	0.0044840771395157205
554	Topic1	0.44182468798597135	Positive	0.44182468798597135	1.0	0.0044840771395157205
1238	Topic1	0.44182468798597135	(ATP	1.3168954186210056	0.8903595750301809	0.0044840771395157205
1877	Topic1	0.4418246879859713	specificities,	1.739366074912048	0.8455996944505265	0.0044840771395157205
1884	Topic1	0.4267323042930671	Aspirin	1.2982058187964285	0.8873328450747305	0.004330904592715211
226	Topic2	2.7516477301025635	CIN2	90.33005740773417	0.5010091985965364	0.053873039685193164
1531	Topic2	2.0047445689974195	smear-positive,	6.8015271010344875	0.9303412195531832	0.03924982204035537
787	Topic2	1.8700859205536955	Size,	27.149860884069582	0.7027340049985252	0.03661341236036599
1260	Topic2	1.7963782759349245	Echocardiographic	86.19374650875072	0.40482701204177957	0.03517032979561441
223	Topic2	1.7244107380192277	respiratory	8.701986118426188	0.8876097810487241	0.03376131584962018
1401	Topic2	1.7170672608023758	Amputation,	2.2633805523108994	0.9901418708171383	0.03361754183552571
1914	Topic2	1.631851738562599	(EBRT)	3.1067169051397903	0.9724956179043422	0.031949152687745216
1814	Topic2	1.5562427342475775	lung,	29.57746492772543	0.6396127228663182	0.03046884441810009
1183	Topic2	1.4357356034244149	Decade	1.847725523130032	0.9911003613383779	0.028109499735216918
1910	Topic2	1.2169473727612898	leading	1.9212821989284603	0.9822108695106847	0.02382596194648682
1909	Topic2	1.1926898658120466	Referred	2.3433753384742126	0.9706941624071537	0.023351037187679956
1643	Topic2	1.0244972830314145	adolescence,	2.6928931407074934	0.9515108409462675	0.020058084536884645
1700	Topic2	1.0244972830314145	Late	1.7327674336709529	0.9788244090681429	0.020058084536884645
1043	Topic2	0.9814682455159831	12-Month	1.459706130947832	0.9849810960612855	0.019215642017689754
1977	Topic2	0.8346786149179618	(Derivation	29.623282277688045	0.4809300728907025	0.016341726324169175
1203	Topic2	0.8320471933015393	endpoints	2.3600823611515525	0.9456548651751864	0.01629020712728247
1381	Topic2	0.8320471933015393	Combined	3.4732577576838004	0.9096417009526373	0.01629020712728247
538	Topic2	0.7680443960101635	specificity,	0.7680443960101635	1.0	0.015037130579466828
936	Topic2	0.7083980674829761	MI,	1.688121014848089	0.9585171652153739	0.01386934700431367
305	Topic2	0.680907404871181	>48	0.680907404871181	1.0	0.013331122019459856
581	Topic2	0.6615679650296338	(FN)	0.6615679650296338	1.0	0.012952485467013426
611	Topic2	0.6504054584628374	hazards	2.4579124173503777	0.9199938547000855	0.012733940719195421
1728	Topic2	0.622892830434821	Mid	1.2301515131700058	0.970395892657598	0.012195285685201647
1267	Topic2	0.6071532877971969	Operative	7.74019624656896	0.731188221207279	0.011887129595355105
922	Topic2	0.5448839123097939	Cut-Off	51.95544430282967	0.2530039638748228	0.010667990786231457
1569	Topic2	0.5386751345948129	ownership,	3.140668956128314	0.8686928963513607	0.010546432446994745
1913	Topic2	0.4654518298914498	sessions,	1.173034157652749	0.9545889785318344	0.009112832514485131
1030	Topic2	0.45302253162054074	analytical	3.0488104084617174	0.8479571733192363	0.00886948592920736
1929	Topic2	0.4530225316205407	Antithrombotic	3.684718295375536	0.8175074962998763	0.00886948592920736
789	Topic2	0.44611613513818404	(occurring	0.6593168514937945	0.9852654591922311	0.00873426928511978
772	Topic2	0.4267766952966369	wheeze	1.150383493046616	0.9496160064361941	0.00835563273267335
1031	Topic2	0.4255318690087459	31,	7.370688747235242	0.6619310203429936	0.008331260944353547
704	Topic2	0.4003834930466158	clinic-based	0.5584973760550348	0.9877931815956922	0.007838894337463978
1902	Topic2	0.39744195615489714	Stroke:	2.0282719587892863	0.8862076433232018	0.007781303559411471
1614	Topic2	0.3849001794597505	Determinants	0.3849001794597505	1.0	0.0075357548192043515
289	Topic2	0.36922678502651207	period	2.9802776856527387	0.8188053294419352	0.007228893809684042
1160	Topic2	0.35355339059327373	race-specific	5.614392904121927	0.6822995892280819	0.006922032800163735
210	Topic2	0.3435580912930811	careHPV	7.338894264319311	0.6108124663603184	0.0067263401793482835
1399	Topic2	0.3398920458847724	Intraaortic	1.007373316929432	0.9421051315054921	0.006654564636422163
556	Topic2	0.29488391230979427	Lumen,	7.121952093548371	0.5798852991564397	0.005773374453639975
1524	Topic2	0.29488391230979427	MGIT960	0.4103539661477194	0.9878948099594987	0.005773374453639975
89	Topic2	0.2886751345948129	B,	0.2886751345948129	1.0	0.005651816114403264
272	Topic2	0.2886751345948129	Strategy	2.094375198234011	0.8363024356623799	0.005651816114403264
1009	Topic2	0.2886751345948129	Type	0.2886751345948129	1.0	0.005651816114403264
1053	Topic2	0.2886751345948129	(LRT)	0.2886751345948129	1.0	0.005651816114403264
1186	Topic2	0.288675134594813	Vessel	2.796325249706489	0.7862675223739788	0.005651816114403264
1884	Topic2	0.28867513459481287	Aspirin	1.2982058187964285	0.9013604127281823	0.005651816114403264
1944	Topic2	0.2886751345948129	VP-PM	0.5901864791725766	0.968350314561973	0.005651816114403264
281	Topic2	0.2672612419124244	identified	0.2672612419124244	1.0	0.005232564958932944
933	Topic2	0.2672612419124244	Treatment)	1.4882167812628366	0.8749232861597671	0.005232564958932944
226	Topic3	39.57607799104978	CIN2	90.33005740773417	0.691447517948437	0.09107882748327488
922	Topic3	16.637543409144744	Cut-Off	51.95544430282967	0.5751591936796319	0.038288987257648094
1260	Topic3	13.281795004483847	Echocardiographic	86.19374650875072	0.3436212881162492	0.03056620002000145
787	Topic3	9.396350795504155	Size,	27.149860884069582	0.603339340393238	0.021624391716369637
1814	Topic3	8.294986017259978	lung,	29.57746492772543	0.5283265301403736	0.019089754184663178
1838	Topic3	6.45768887101583	Genetic	28.490504072345168	0.4572047235207609	0.01486147088038709
365	Topic3	5.605852323251054	weight,	18.396849579330087	0.5574279574294949	0.012901087792518648
1989	Topic3	4.106509733374007	multivariable	7.366817478286563	0.783539322993088	0.009450559796474646
556	Topic3	3.717442811134772	Lumen,	7.121952093548371	0.758339199977339	0.008555176502099448
199	Topic3	3.437670750057863	external	6.403535519735561	0.7691088236155467	0.00791132009744948
1324	Topic3	3.3837811905910344	index,	22.341212755687405	0.3390475010273991	0.0077873007873263626
1497	Topic3	2.7939616243261787	(young	4.530172646280277	0.8222133749638724	0.00642991326311929
210	Topic3	2.32601396661773	careHPV	7.338894264319311	0.5714588925336263	0.005352996950258046
1977	Topic3	2.289848426625844	(Derivation	29.623282277688045	0.1940408235229512	0.005269767000627733
1267	Topic3	2.260859464543374	Operative	7.74019624656896	0.5425025443775845	0.005203052944802756
1334	Topic3	2.2539155466927543	survival,	4.1124309033137685	0.7770490110399138	0.005187072485695172
799	Topic3	2.2388984583626996	agencies,	6.173227356235996	0.6205548988521662	0.005152512749947141
294	Topic3	2.236285513837175	sensitivity/neurology	10.943630277948367	0.4246556385248446	0.00514649942230721
178	Topic3	2.1734160343823254	21	3.5701277343502045	0.8172520893932488	0.005001814077930071
1499	Topic3	2.1482457931027437	11,	3.384290112181505	0.8331885548545351	0.004943888275789345
329	Topic3	2.101212931805618	(SOLVD)	3.39801824107622	0.8232133065463834	0.004835648700834635
501	Topic3	2.030200723206274	part	8.960586377772536	0.45707584082331687	0.00467222400024433
1714	Topic3	1.907673355679939	nmol/liter)	3.4679695801423938	0.7784521886909392	0.004390244341435421
859	Topic3	1.8241260895305267	tamoxifen	3.0625676843651926	0.8089045204225156	0.0041979719529980815
1929	Topic3	1.7801039030205943	Antithrombotic	3.684718295375536	0.728703112993488	0.004096661026445899
1172	Topic3	1.750263774951724	1999:	5.355428341159683	0.5825036310110808	0.004027988130736575
1031	Topic3	1.7421664399650136	31,	7.370688747235242	0.47076911124027265	0.004009353242850622
458	Topic3	1.6768707355269126	(AMI)	2.826360234255749	0.8074106123985594	0.0038590842798355996
422	Topic3	1.6473493942338893	level	2.2469524081830943	0.8875858610260468	0.0037911450274591978
1279	Topic3	1.6383327254805897	ST2	16.083497824947894	0.2458220989756377	0.0037703944210438455
778	Topic3	1.5561407991240226	Conventional	2.857328113355655	0.7746213109383423	0.003581241158235923
557	Topic3	1.5359074454742556	Percent	1.9380903983344797	0.9164934653394969	0.0035346769148843723
395	Topic3	1.442220409766697	19972000	2.9796908706069742	0.7294247289255333	0.0033190692600642588
1105	Topic3	1.42716612241188	Cardiff,	1.42716612241188	1.0	0.0032844239159454417
355	Topic3	1.365002736844502	Brachial	2.186509746691332	0.826845232226129	0.003141363548236748
375	Topic3	1.319681175458537	Stimulation	2.823315960014771	0.7160933996364713	0.003037062291510943
1217	Topic3	1.3101249752157493	retinopathy	1.3101249752157493	1.0	0.003015070028571061
463	Topic3	1.279594035946755	(study	3.3725178117559818	0.6372946543707598	0.0029448073271681583
396	Topic3	1.2089157939756718	Early	2.093130786356276	0.7971279058167938	0.002782151204225374
1767	Topic3	1.2084591147069081	34	3.863778780278906	0.56671026195315	0.0027811002205391094
288	Topic3	1.20698285058987	During	1.7136775256593377	0.8725427788334313	0.0027777028044316857
597	Topic3	1.20698285058987	including	1.8495993008160423	0.8436962691980261	0.0027777028044316857
1262	Topic3	1.20698285058987	detected	1.40698285058987	0.9454850000858561	0.0027777028044316857
855	Topic3	1.1970893583733984	Lipid	3.195565967404679	0.6325491522580527	0.002754934311025267
924	Topic3	1.1961066226910742	weight	3.5591875749099646	0.5926101155482562	0.0027526726818235987
1040	Topic3	1.1935116207889689	influence	1.6930017977999998	0.8728867871657083	0.00274670064663067
195	Topic3	1.189599673638056	onset	7.261490378425291	0.360223848442428	0.0027376978455000904
517	Topic3	1.1851113073966861	recorded	1.8286898874187878	0.8410696384257145	0.002727368496172653
376	Topic3	1.1663202868525162	dose	1.3285417079832786	0.953836696990288	0.002684123581434913
1030	Topic3	1.1497236621778524	analytical	3.0488104084617174	0.6350188545423608	0.002645928762941524
189	Topic4	12.874174633762536	n	13.170795297549313	0.9972493043594397	0.07153363846136997
724	Topic4	12.762502080290279	Group])	13.462460235479709	0.9934769480538259	0.07091314477588015
1855	Topic4	11.074801949161102	Peptides	13.326560335235348	0.9762371812621715	0.06153566354342948
1260	Topic4	9.115161141146409	Echocardiographic	86.19374650875072	0.4969340454713753	0.05064718012119533
922	Topic4	8.556211963057555	Cut-Off	51.95544430282967	0.6221862753473655	0.04754145338055988
226	Topic4	6.364735608055825	CIN2	90.33005740773417	0.38769567022460605	0.035364806586891215
1324	Topic4	4.954849185687332	index,	22.341212755687405	0.7041841917114462	0.027530960264439495
1379	Topic4	4.794122876665795	hormone-receptor-positive	6.557327182441131	0.9578267352495008	0.026637905912774446
1279	Topic4	4.579310947130963	ST2	16.083497824947894	0.7687843942662383	0.025444332006744338
691	Topic4	4.579030818966664	Bactec	4.579030818966664	1.0	0.02544277551187006
1607	Topic4	4.140259129306489	Measured	4.319864431333264	0.9948334717415657	0.02300479899623984
836	Topic4	4.136077393644024	(MedDRA	4.549445931652351	0.9881766609109113	0.0229815637384055
843	Topic4	3.4844283822339897	Elevation	5.971846669673602	0.9212665347059547	0.01936076270750545
1838	Topic4	3.403963768166451	Genetic	28.490504072345168	0.5312670322883911	0.018913671785144807
1814	Topic4	2.9058274279725245	lung,	29.57746492772543	0.4764524013706873	0.016145843487208458
365	Topic4	2.8290009555142945	weight,	18.396849579330087	0.6028461438317126	0.015718967414650217
1536	Topic4	2.7362919803927457	Inflammation,	4.371979875969386	0.9332153482540247	0.015203842329188273
1740	Topic4	2.7003740563841885	day	4.0140941928050715	0.9449635063769375	0.015004269163264838
210	Topic4	2.5802914150173994	careHPV	7.338894264319311	0.819145764731499	0.014337045943339653
7	Topic4	2.541656464976338	(N	3.784315819036809	0.9447047130958405	0.014122375983763166
680	Topic4	2.4945630660571823	=	2.9590339167215087	0.9781954855342526	0.013860707778380481
651	Topic4	2.2018686601570145	drinkers	2.4518686601570145	0.9865895942036693	0.012234390254582141
1170	Topic4	2.197145684213238	pollution	2.4597585499326833	0.9858927101156179	0.012208147667135965
1257	Topic4	2.1870754957805736	<937)	2.3666807978073483	0.9902643863846039	0.012152194004934508
294	Topic4	1.826097610638563	sensitivity/neurology	10.943630277948367	0.6258852413794118	0.010146468413751358
623	Topic4	1.4699183578086719	kg	1.4699183578086719	1.0	0.0081674057845591
248	Topic4	1.464086132255872	(aphasia	3.083934920511962	0.8830381793037437	0.008134999799244515
1799	Topic4	1.41963375800426	Dihydrocodeine	1.6120838477341353	0.9840299271516308	0.007888006096042352
1977	Topic4	1.4130277931951767	(Derivation	29.623282277688045	0.2949779771086792	0.007851300931495166
460	Topic4	1.397368252253626	evidence-based	2.050406334764994	0.9470163464497221	0.007764290775733704
1404	Topic4	1.336161313272819	Loading	1.336161313272819	1.0	0.00742420256278544
1026	Topic4	1.2405026239381098	(After	1.3986165069465288	0.9849702341762325	0.006892687782753462
1549	Topic4	1.1525443277091136	F	1.8554704247929386	0.9319538983483655	0.006403959212486722
644	Topic4	1.130144399177741	THV	2.097134825810822	0.9070836061941696	0.006279496989881663
924	Topic4	1.1062031093374431	weight	3.5591875749099646	0.7902197519913323	0.006146470398239554
1649	Topic4	1.071805714368522	(t1)	1.071805714368522	1.0	0.005955345849620576
1029	Topic4	1.066492911371976	various	1.5275125624641097	0.950795440786504	0.005925825966631359
659	Topic4	1.0568884041447002	Predictive	4.387194956472935	0.7260925475289727	0.005872459800089408
1343	Topic4	1.0568884041447004	sensitivity	2.8002532750923654	0.8350892897945905	0.005872459800089408
1173	Topic4	0.9883472163562892	12	0.9883472163562892	1.0	0.005491619809453352
1509	Topic4	0.9192880438899829	Responses	1.7149317937515618	0.9061128563252951	0.005107901705871717
1972	Topic4	0.9192880438899832	Motion	3.189553212108398	0.7718118015026831	0.005107901705871717
21	Topic4	0.9054776768743533	malignancies	1.9863151726797503	0.874965370890443	0.005031166238999604
195	Topic4	0.8516894520229759	onset	7.261490378425291	0.5260416408718442	0.004732299124061859
1118	Topic4	0.7885852504538184	prostate,	0.7885852504538184	1.0	0.004381669023969589
1297	Topic4	0.7349915235109155	mother's	1.1326759772165922	0.9391648078178132	0.004083882610782605
787	Topic4	0.7069750948276481	Size,	27.149860884069582	0.1825561285808116	0.003928213052351123
344	Topic4	0.6746568368433867	(RVEF)	0.980250296539904	0.948562048481145	0.0037486409517611067
646	Topic4	0.6746568368433867	Simulated	1.1517488816824129	0.921948260052709	0.0037486409517611067
1801	Topic4	0.6595644531504825	Battery	0.6595644531504825	1.0	0.0036647821297922634
1838	Topic5	3.00707417108631	Genetic	28.490504072345168	0.8019949227525675	0.0631050587626918
164	Topic5	2.5847321356183857	quinacrine	6.867708669432202	0.9539482705225173	0.05424198540639671
677	Topic5	2.286966924227343	Test	3.4536755255756812	0.9853551052640748	0.04799322328972136
226	Topic5	2.0775039363554804	CIN2	90.33005740773417	0.4469096254821806	0.043597530531172685
1656	Topic5	1.4518436242208468	be	1.844075894497215	0.9921907447392008	0.030467714465319828
1455	Topic5	1.3146264260256977	(Wald)	1.6433029265524586	0.9927688824808641	0.027588138218542817
808	Topic5	1.3059786327229523	(millions)	1.3059786327229523	1.0	0.02740665965383544
1591	Topic5	1.1052907550770277	cancers,	1.659573631785468	0.985600519769174	0.023195117273678272
197	Topic5	0.999283957653485	removed,	1.687678471414884	0.9803252314101689	0.020970507969066132
449	Topic5	0.9934469745583911	pollutants	3.2379641153994774	0.9382432209195625	0.020848015758945605
1989	Topic5	0.9727797238273027	multivariable	7.366817478286563	0.8392835394709264	0.02041430245569925
1906	Topic5	0.9726452993896191	p	2.2509597640947026	0.963122971448857	0.02041148148702454
787	Topic5	0.8912114267418789	Size,	27.149860884069582	0.5381013526729875	0.018702548143071554
1722	Topic5	0.8663455663626941	Equation	1.2611593660178875	0.9868972018241942	0.018180724772201222
1814	Topic5	0.7592543416368296	lung,	29.57746492772543	0.4748822888772965	0.015933358181023007
1260	Topic5	0.7326156833729648	Echocardiographic	86.19374650875072	0.22735180377533484	0.015374331698981418
294	Topic5	0.7176362723271604	sensitivity/neurology	10.943630277948367	0.7066450405673445	0.015059980751683546
1727	Topic5	0.5963564155082997	slices)	1.8390354547466057	0.9427667632098359	0.012514858132203798
922	Topic5	0.5624617015008778	Cut-Off	51.95544430282967	0.2730776643178183	0.011803559442018757
199	Topic5	0.5303300858899106	external	6.403535519735561	0.7560629148951404	0.011129260314060155
360	Topic5	0.5	Top	0.5	1.0	0.010492767250216348
1188	Topic5	0.5	Stent	0.5	1.0	0.010492767250216348
1486	Topic5	0.48666426339228763	Most	0.48666426339228763	1.0	0.010212909689546518
183	Topic5	0.47823788543184886	Month	1.2816377343451255	0.9533418624149603	0.010036077644144045
659	Topic5	0.4525596665673621	Predictive	4.387194956472935	0.7978993480157176	0.009497206496253695
210	Topic5	0.4466597702682645	careHPV	7.338894264319311	0.6898711555527468	0.009373394018920008
248	Topic5	0.44421667445259055	(aphasia	3.083934920511962	0.8524258482731164	0.00932212434739232
701	Topic5	0.4364357804719848	neoplasia	0.4364357804719848	1.0	0.009158838128318107
1603	Topic5	0.43175799139859006	included	0.43175799139859006	1.0	0.009060672224332635
91	Topic5	0.4223420354679239	Recanalization	2.6068551493585286	0.8690446082068842	0.008863073356295088
1291	Topic5	0.4223420354679239	varying	3.7225264538381495	0.8145653808535539	0.008863073356295088
195	Topic5	0.3663455663626942	onset	7.261490378425291	0.6458564059019279	0.007687957521984874
1168	Topic5	0.3663455663626941	(Cath	0.8807770701298732	0.9606980156897577	0.007687957521984874
1324	Topic5	0.36634556636269383	index,	22.341212755687405	0.3639623912983931	0.007687957521984874
442	Topic5	0.3640828817338869	maternal	3.913674773609003	0.7787960526547284	0.0076404738756434415
1267	Topic5	0.3582458986387934	Operative	7.74019624656896	0.6248760788015113	0.007517981665522914
1279	Topic5	0.35355339059327356	ST2	16.083497824947894	0.4355071537661694	0.007419506876040103
1334	Topic5	0.34198112663607855	survival,	4.1124309033137685	0.7568849440896309	0.007176656731518271
1509	Topic5	0.32444284226152503	Responses	1.7149317937515618	0.8890002057396461	0.006808606459697679
51	Topic5	0.3168047036994378	Countdown	0.4749185867078568	0.9856682209152656	0.006648316039383911
1750	Topic5	0.3125316581645612	42277	0.5257323745201716	0.9805132647819409	0.006558643894889838
1343	Topic5	0.3066946750694676	sensitivity	2.8002532750923654	0.8084944540287421	0.006436151684769309
711	Topic5	0.2858929999006955	disability	0.7369430389941032	0.9560563951094878	0.005999617412848247
1317	Topic5	0.2858929999006955	Shown	1.331057000341071	0.9037461022096714	0.005999617412848247
1446	Topic5	0.28589299990069555	IgE	1.5036192450572272	0.8896084093047592	0.005999617412848247
1550	Topic5	0.2858929999006955	lost	0.4502919872060528	0.9835232626079446	0.005999617412848247
822	Topic5	0.25	aspiration	0.25	1.0	0.005246383625108174
1863	Topic5	0.25	ageing,	0.9687017622633844	0.922719591320301	0.005246383625108174
395	Topic5	0.2425356250363329	19972000	2.9796908706069742	0.7525659674519851	0.005089739726783974
300	Topic5	0.23570226039551587	round	0.23570226039551587	1.0	0.00494633791736007
1008	Topic6	2.419091761059191	systematic	2.713423119424084	0.9989551702698342	0.1686140460047625
1136	Topic6	2.419091761059191	statistics	2.419091761059191	1.0	0.1686140460047625
1148	Topic6	0.8063639203530637	late	1.1829289336626037	0.9960016182730731	0.05620468200158751
922	Topic6	0.4989645886986467	Cut-Off	51.95544430282967	0.530078183951541	0.03477852286047387
2	Topic6	0.40318196017653185	malignant	0.40318196017653185	1.0	0.028102341000793753
5	Topic6	0.40318196017653185	Time-series	0.40318196017653185	1.0	0.028102341000793753
378	Topic6	0.40318196017653185	Planning	0.40318196017653185	1.0	0.028102341000793753
636	Topic6	0.40318196017653185	if	0.40318196017653185	1.0	0.028102341000793753
740	Topic6	0.40318196017653185	(n	0.40318196017653185	1.0	0.028102341000793753
