id	document	topic	plot_x	plot_y	topic_word	words_count
15	15	Multiple Regression Analysis of Variables Associated With CD40L Levels; Entire Model  (Regression Summary for Dependent Variable: R2= 0.60, F = 5.58; p < 0.00005)  and Final Model With Stepwise Method	7	9.484116	2.6230102	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	16
16	16	Final multivariable Cox proportional hazards model of time to first late seizure in the derivation cohort	7	4.6279173	5.543165	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	10
17	17	Univariate and Multivariate Linear Model of Left Ventricular End-Diastolic Volume Index in 113 Patients With CHF legend	7	7.4898906	-1.3650845	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	11
18	18	Logistic Regression Multivariate Independent Predictors of Spontaneous Conversion to Sinus Rhythm	7	5.2321568	1.40721	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	9
19	19	Table of Regression Coefficients From a Multivariate Linear Regression Model for LV Mass-to-Volume Ratio	7	7.2899227	1.1928077	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	10
20	20	Univariate and Multivariate Cox Proportional Hazard Analyses for the Identification of Patients With Chronic Heart Failure at Risk for Cardiac Events	7	8.08969	8.670753	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	13
21	21	Variables Independently Associated With In-Hospital Mortality Adjusted by Risk in a Multivariable Logistic Regression Model and a Multilevel Model, With Odds Ratio and 95% Confidence Intervals for Each Variable	7	7.2660847	2.8019667	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	18
22	22	Cox proportional hazards regression model for individual factors affecting graft failure in first-time recipients of kidneys from cardiac-death donors, adjusted for age of donors and recipients, and cold ischaemic time	7	4.308547	11.961737	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	21
23	23	Final Multivariable Cox Proportional Hazards Model  (Global Chi-Square of the Model = 1,146.1, p < 0.001)	7	5.308862	5.327763	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	8
24	24	Multivariate Stepwise Cox Regression Analysis of Potential Risk Variables in Order to Detect Independent Predictors of Cardiac Death or Acute Myocardial Infarction at 30 Days legend	7	10.479092	4.2256083	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	18
25	25	Intervals Measured During Ventricular Tachycardia, Responses to Pacing During Ventricular Tachycardia and Sinus Rhythm and Presence of Isolated Diastolic Potential During Sinus Rhythm	0	5.6652284	0.48168495	[('vaccin', '1.82'), ('efficaci', '1.57'), ('accord', '1.41'), ('cohort', '1.16'), ('intervent', '1.16'), ('sever', '0.91'), ('area', '0.91'), ('level', '0.91'), ('respons', '0.91'), ('liter', '0.83')]	16
26	26	Impact of Congestive Heart Failure on Mortality: Results of Multivariable Cox Proportional Hazards Regression Models legend	7	5.1367493	7.6430206	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	12
27	27	Multivariable Analysis for Independent Predictors of Survival in HFpEF Patients  (Cox Proportional Hazard Model)	7	6.603587	6.432061	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	10
28	28	Multiple Linear Regression Analysis Assessing the Independent Influence of Different Variables on Natriuretic Peptides	7	9.359673	1.0741712	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	11
29	29	Multiple Regression Analysis of the Relationship Between Left Ventricular Mass Index and Other Variables for the Entire Group	7	9.847215	0.05516863	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	11
30	30	Cox proportional hazards regression model for graft failure in first-time recipients of kidneys from cardiac-death donors, adjusted for age of donors and recipients, and cold ischaemic time	7	4.3096724	11.959738	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	18
31	31	Partial Correlation Coefficients  (r) , Controlled for Age, of Body Size, Body Composition and Blood Pressure With Unindexed and Indexed Left Ventricular Mass  (LVM)	3	16.377674	-19.135729	[('coronari', '4.33'), ('valu', '1.96'), ('arteri', '1.55'), ('sensit', '1.55'), ('legend', '1.44'), ('ventricular', '1.44'), ('wall', '1.44'), ('detect', '1.34'), ('angiographi', '1.34'), ('leav', '1.34')]	15
32	32	Multiple Linear Regression Analysis Results With Augmentation Index as the Dependent Variable  a	7	10.248336	0.93792963	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	9
33	33	Multivariate Cox Proportional Hazards Regression Model of Significant Predictors of Death or Heart Failure	7	7.4635525	5.5610213	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	10
34	34	Results of Multivariable Modeling: Hazard Ratios, 95% Confidence Intervals and p Values for Significant Multivariable Predictors of Outcome in Models That Incorporate Echocardiographic, Clinical and Hemodynamic Variables	7	6.406329	4.4255433	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	17
35	35	Differences Among End-Diastolic Volume, End-Systolic Volume, Ejection Fraction and Left Ventricular Mass as Revealed on Cine MRI and Real-Time MRI legend	3	8.434353	-2.2116344	[('coronari', '4.33'), ('valu', '1.96'), ('arteri', '1.55'), ('sensit', '1.55'), ('legend', '1.44'), ('ventricular', '1.44'), ('wall', '1.44'), ('detect', '1.34'), ('angiographi', '1.34'), ('leav', '1.34')]	15
36	36	Analysis of Significance and Prognostic Value of End-Diastolic Volume, Stroke Volume, Left Ventricular Ejection Fraction and Heart Rate Obtained During Dobutamine Infusion  a	3	8.882921	-2.5902681	[('coronari', '4.33'), ('valu', '1.96'), ('arteri', '1.55'), ('sensit', '1.55'), ('legend', '1.44'), ('ventricular', '1.44'), ('wall', '1.44'), ('detect', '1.34'), ('angiographi', '1.34'), ('leav', '1.34')]	17
37	37	Multivariate Logistic Regression Analyses to Assess the Predictive Value of Electrocardiographic Strain for the Presence of LVH, Abnormal LV Geometry and Abnormal LV Midwall Function in Patients With and Without Evident CHD    legend	6	3.9819508	0.73595804	[('patient', '8.09'), ('hospit', '2.52'), ('infarct', '1.99'), ('myocardi', '1.99'), ('outcom', '1.86'), ('acut', '1.72'), ('legend', '1.72'), ('random', '1.46'), ('clinic', '1.46'), ('complic', '1.33')]	17
38	38	Final Multivariable Cox Regression Model of Predictors of Death Among 1,953 Children With DCM Not Undergoing Heart Transplantation	7	8.301655	4.9083505	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	10
39	39	Multivariable Analysis for Independent Predictors of Survival in HFpEF Patients With CAD  (Cox Proportional Hazard Model)	7	6.603587	6.432061	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	10
40	40	Cox proportional hazard analysis for the effect of covariates on survival in patients with chronic heart failure  (SOLVD)	7	7.146009	8.243703	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	11
41	41	Multiple Linear Regression Analysis of Clinical and Hemodynamic Variables and Follow-Up Left Ventricular Ejection Fraction  legend	7	10.38973	-0.5529752	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	13
42	42	Odds Ratios  (With 95% Confidence Intervals)  for Univariate Predictors of Mortality and for Those Same Predictors Together With Log10Troponin in Bivariate Models	7	5.9544754	3.144794	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	11
43	43	Multivariate Cox Proportional Hazards Models for Prediction of Time to Recurrence legend	7	4.488573	4.8230643	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	8
44	44	Univariate and Multivariate Analysis of Predictive Variables for log Vo 2max/kg2/3	7	2.865608	0.23841712	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	5
45	45	Cox Proportional Hazard Models for MR-proANP and NT-proBNP to Predict Survival in Different Subgroups of Patients With Chronic Heart Failure  (Derivation and Validation Samples Combined)	7	6.9267526	9.625693	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	17
46	46	Computer Directed and Clinically Directed Stepwise Multiple Logistic Regression and Cox Proportion Hazard Analysis of Determinants of Hard Events in Medically Treated Patients legend	7	11.644342	7.1801596	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	17
47	47	Multivariate analysis of predictors of ventricular tachycardia, sudden death, and atrial flutter/fibrillation after repair of tetralogy of Fallot	7	12.301235	4.8814898	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	13
48	48	Unadjusted Cox Proportional Hazards Regression Analysis of Predictors of Death Among 1,953 Children With DCM Not Undergoing Heart Transplantation	7	8.9257345	5.4981384	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	11
49	49	Multivariate Cox Regression Analyses for Peak Vo 2and Ve/Vco 2Slope	7	2.673183	0.77788574	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	5
50	50	Potential effect of the internet on physical activity interventions  (based on effect estimates from web-based physical activity interventions and other physical activity interventions)  and the potential effect of mobile phones on physical activity interventions  (based on effect estimates from telephone-based physical activity interventions and from other physical activity interventions) , by country income	0	-15.383671	0.5561474	[('vaccin', '1.82'), ('efficaci', '1.57'), ('accord', '1.41'), ('cohort', '1.16'), ('intervent', '1.16'), ('sever', '0.91'), ('area', '0.91'), ('level', '0.91'), ('respons', '0.91'), ('liter', '0.83')]	36
51	51	Analysis of trends from 19992002 and 200306 for government health expenditure as source  (GHE-S) ; share of general government expenditure spent on health  (GHE-S/GGE) ; share of gross domestic product  (GDP)  spent by government  (GGE/GDP) ; and GDP	0	-6.8240457	8.9722805	[('vaccin', '1.82'), ('efficaci', '1.57'), ('accord', '1.41'), ('cohort', '1.16'), ('intervent', '1.16'), ('sever', '0.91'), ('area', '0.91'), ('level', '0.91'), ('respons', '0.91'), ('liter', '0.83')]	18
52	52	Changes between 2012 and 2017 in the modern contraceptive prevalence rate  (mCPR) , unmet need for modern methods, demand satisfied with modern methods, and the number of women of reproductive age who are married or in a union using modern methods of contraception	5	-24.22217	-2.4032218	[('health', '5.26'), ('countri', '5.26'), ('modern', '5.26'), ('method', '4.45'), ('child', '4.45'), ('develop', '4.05'), ('matern', '3.64'), ('offici', '3.24'), ('assist', '3.24'), ('newborn', '3.24')]	22
53	53	Postprandial Changes of Nitrates/Nitrites, Lipoperoxides, and 8-epi Prostaglandin Plasma Levels After the Ingestion of a Phenol-Rich Olive Oil Meal  (400 ppm)  as Compared to a Low Phenol Olive Oil Meal  (80 ppm)	0	-20.535402	-16.032675	[('vaccin', '1.82'), ('efficaci', '1.57'), ('accord', '1.41'), ('cohort', '1.16'), ('intervent', '1.16'), ('sever', '0.91'), ('area', '0.91'), ('level', '0.91'), ('respons', '0.91'), ('liter', '0.83')]	17
54	54	Analysis of association between receipt of financial assistance from Janani Suraksha Yojana and intervention coverage and health outcomes by use of two analytical approaches by high-focus, northeast, and non-high-focus states	0	29.027655	-3.332284	[('vaccin', '1.82'), ('efficaci', '1.57'), ('accord', '1.41'), ('cohort', '1.16'), ('intervent', '1.16'), ('sever', '0.91'), ('area', '0.91'), ('level', '0.91'), ('respons', '0.91'), ('liter', '0.83')]	20
55	55	Number  (millions)  of women with an unmet need for modern methods and proportion of those wanting to avoid pregnancy with unmet need for modern methods, by region and subregion and by country income, in 2003, 2008, and 2012	5	-22.003387	-1.9434241	[('health', '5.26'), ('countri', '5.26'), ('modern', '5.26'), ('method', '4.45'), ('child', '4.45'), ('develop', '4.05'), ('matern', '3.64'), ('offici', '3.24'), ('assist', '3.24'), ('newborn', '3.24')]	19
56	56	Aggregate official development assistance to maternal, newborn, and child health, to child health per child, and to maternal and newborn health per livebirth in 2005 and 2006, and percentage change for the two categories between 2003 and 2006	5	25.173565	-6.900714	[('health', '5.26'), ('countri', '5.26'), ('modern', '5.26'), ('method', '4.45'), ('child', '4.45'), ('develop', '4.05'), ('matern', '3.64'), ('offici', '3.24'), ('assist', '3.24'), ('newborn', '3.24')]	18
57	57	Official development assistance to child health per child and to maternal and neonatal health per livebirth, total to maternal, newborn, and child health in 2007 and 2008, and trends statistics, 200308	5	25.073002	-7.0018992	[('health', '5.26'), ('countri', '5.26'), ('modern', '5.26'), ('method', '4.45'), ('child', '4.45'), ('develop', '4.05'), ('matern', '3.64'), ('offici', '3.24'), ('assist', '3.24'), ('newborn', '3.24')]	17
58	58	Official development assistance to maternal, newborn, and child health by aid modality and project purpose for the 68 Countdown priority countries, 200308	5	23.40715	-5.540627	[('health', '5.26'), ('countri', '5.26'), ('modern', '5.26'), ('method', '4.45'), ('child', '4.45'), ('develop', '4.05'), ('matern', '3.64'), ('offici', '3.24'), ('assist', '3.24'), ('newborn', '3.24')]	13
59	59	Official development assistance to maternal, newborn, and child health to the 74 Countdown priority countries by type of aid and purpose of projects between 2003 and 2010	5	22.787165	-5.3685246	[('health', '5.26'), ('countri', '5.26'), ('modern', '5.26'), ('method', '4.45'), ('child', '4.45'), ('develop', '4.05'), ('matern', '3.64'), ('offici', '3.24'), ('assist', '3.24'), ('newborn', '3.24')]	13
60	60	Effects of varying selected assumptions on the estimated additional annual running costs of providing child survival interventions at universal coverage, from reported levels in 2000  (US$5134 million)	0	-16.865131	-2.041004	[('vaccin', '1.82'), ('efficaci', '1.57'), ('accord', '1.41'), ('cohort', '1.16'), ('intervent', '1.16'), ('sever', '0.91'), ('area', '0.91'), ('level', '0.91'), ('respons', '0.91'), ('liter', '0.83')]	18
61	61	Time-series cross-sectional regression results for government health expenditure as source  (GHE-S)  as a share of gross domestic product  (GDP)  for countries in Global Burden of Disease developing regions based on the Arellano-Bover/Blundell-Bond model	7	-6.1083817	8.677727	[('regress', '4.34'), ('model', '3.90'), ('analysi', '3.90'), ('multivari', '3.32'), ('variabl', '2.89'), ('hazard', '2.89'), ('proport', '2.75'), ('predictor', '2.31'), ('cardiac', '2.17'), ('heart', '2.02')]	26
62	62	Modern contraceptive prevalence rate  (mCPR) , unmet need for modern methods, and demand satisfied with modern methods in 2017 for 68 Family Planning 2020 countries	5	-24.04324	-2.4135795	[('health', '5.26'), ('countri', '5.26'), ('modern', '5.26'), ('method', '4.45'), ('child', '4.45'), ('develop', '4.05'), ('matern', '3.64'), ('offici', '3.24'), ('assist', '3.24'), ('newborn', '3.24')]	16
63	63	Numbers and incident rate ratios for recorded referrals and identifications of women experiencing domestic violence in general practice and domestic violence referrals received by specialist agencies, 12 months after intervention	0	0.69600993	4.865373	[('vaccin', '1.82'), ('efficaci', '1.57'), ('accord', '1.41'), ('cohort', '1.16'), ('intervent', '1.16'), ('sever', '0.91'), ('area', '0.91'), ('level', '0.91'), ('respons', '0.91'), ('liter', '0.83')]	21
64	64	Number  (millions)  of women using modern methods and proportion of those wanting to avoid pregnancy using modern methods, by region and subregion and by country income in 2003, 2008, and 2012	5	-21.857317	-1.4505831	[('health', '5.26'), ('countri', '5.26'), ('modern', '5.26'), ('method', '4.45'), ('child', '4.45'), ('develop', '4.05'), ('matern', '3.64'), ('offici', '3.24'), ('assist', '3.24'), ('newborn', '3.24')]	15
65	65	Estimated annual running costs of providing preventive interventions for child survival at 2000 coverage levels and universal coverage levels	0	-17.2286	-2.6600149	[('vaccin', '1.82'), ('efficaci', '1.57'), ('accord', '1.41'), ('cohort', '1.16'), ('intervent', '1.16'), ('sever', '0.91'), ('area', '0.91'), ('level', '0.91'), ('respons', '0.91'), ('liter', '0.83')]	14
66	66	Antipneumococcal IgG antibody responses 1 month after booster vaccination with PHiD-CV and DTPa-HBV-IPV/Hib with or without prophylactic administration of paracetamol  (ATP immunogenicity cohort)	0	2.9333858	-19.604252	[('vaccin', '1.82'), ('efficaci', '1.57'), ('accord', '1.41'), ('cohort', '1.16'), ('intervent', '1.16'), ('sever', '0.91'), ('area', '0.91'), ('level', '0.91'), ('respons', '0.91'), ('liter', '0.83')]	12
67	67	Official development assistance to maternal, newborn, and child health by type and source of aid flow for the 68 Countdown priority countries, 200308	5	22.480606	-6.2936068	[('health', '5.26'), ('countri', '5.26'), ('modern', '5.26'), ('method', '4.45'), ('child', '4.45'), ('develop', '4.05'), ('matern', '3.64'), ('offici', '3.24'), ('assist', '3.24'), ('newborn', '3.24')]	13
68	68	Health service resource use: mean  (SD)  resource use per patient and unit costs of resource items by type of care  (UK, 2009 prices)	6	-3.7413247	-3.3574746	[('patient', '8.09'), ('hospit', '2.52'), ('infarct', '1.99'), ('myocardi', '1.99'), ('outcom', '1.86'), ('acut', '1.72'), ('legend', '1.72'), ('random', '1.46'), ('clinic', '1.46'), ('complic', '1.33')]	13
