id	document	topic	topic_prob	topic_word	plot_x	plot_y	td_x	td_y	td_z
17	17	Univariate and Multivariate Linear Model of Left Ventricular End-Diastolic Volume Index in 113 Patients With CHF legend	0	11	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	7.4898906	-1.3650845	-43.13407	-171.4404	12.783203
18	18	Logistic Regression Multivariate Independent Predictors of Spontaneous Conversion to Sinus Rhythm	0	8	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	5.2321568	1.40721	-23.058233	113.11043	19.314796
19	19	Table of Regression Coefficients From a Multivariate Linear Regression Model for LV Mass-to-Volume Ratio	0	10	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	7.2899227	1.1928077	68.7165	42.917126	-67.24173
20	20	Univariate and Multivariate Cox Proportional Hazard Analyses for the Identification of Patients With Chronic Heart Failure at Risk for Cardiac Events	0	9	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	8.08969	8.670753	87.049995	57.22627	28.088205
21	21	Variables Independently Associated With In-Hospital Mortality Adjusted by Risk in a Multivariable Logistic Regression Model and a Multilevel Model, With Odds Ratio and 95% Confidence Intervals for Each Variable	0	15	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	7.2660847	2.8019667	104.95518	47.442387	-69.40598
22	22	Cox proportional hazards regression model for individual factors affecting graft failure in first-time recipients of kidneys from cardiac-death donors, adjusted for age of donors and recipients, and cold ischaemic time	0	19	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	4.308547	11.961737	150.47363	-12.177003	-110.03043
23	23	Final Multivariable Cox Proportional Hazards Model  (Global Chi-Square of the Model = 1,146.1, p < 0.001)	0	8	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	5.308862	5.327763	58.380104	25.157219	-34.13797
24	24	Multivariate Stepwise Cox Regression Analysis of Potential Risk Variables in Order to Detect Independent Predictors of Cardiac Death or Acute Myocardial Infarction at 30 Days legend	0	11	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	10.479092	4.2256083	100.50832	122.77673	-8.8561
25	25	Intervals Measured During Ventricular Tachycardia, Responses to Pacing During Ventricular Tachycardia and Sinus Rhythm and Presence of Isolated Diastolic Potential During Sinus Rhythm	0	15	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	5.6652284	0.48168495	39.63435	39.94816	-169.96638
26	26	Impact of Congestive Heart Failure on Mortality: Results of Multivariable Cox Proportional Hazards Regression Models legend	0	12	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	5.1367493	7.6430206	79.56394	87.805275	-28.497307
27	27	Multivariable Analysis for Independent Predictors of Survival in HFpEF Patients  (Cox Proportional Hazard Model)	0	9	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	6.603587	6.432061	84.622955	4.605337	22.487045
28	28	Multiple Linear Regression Analysis Assessing the Independent Influence of Different Variables on Natriuretic Peptides	0	8	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	9.359673	1.0741712	44.650543	66.56165	-47.03514
29	29	Multiple Regression Analysis of the Relationship Between Left Ventricular Mass Index and Other Variables for the Entire Group	0	11	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	9.847215	0.05516863	128.05669	39.448967	30.48513
30	30	Cox proportional hazards regression model for graft failure in first-time recipients of kidneys from cardiac-death donors, adjusted for age of donors and recipients, and cold ischaemic time	0	18	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	4.3096724	11.959738	-108.78321	-16.362438	135.38136
31	31	Partial Correlation Coefficients  (r) , Controlled for Age, of Body Size, Body Composition and Blood Pressure With Unindexed and Indexed Left Ventricular Mass  (LVM)	5	9	coronari(47),arteri(17),patient(16),wall(15),detect(15),flow(13),diagnost(13),angiographi(13),comput(12),tomographi(12)	16.377674	-19.135729	13.993134	90.5244	-164.43631
32	32	Multiple Linear Regression Analysis Results With Augmentation Index as the Dependent Variable  a	0	9	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	10.248336	0.93792963	-81.12543	64.620964	-49.717613
33	33	Multivariate Cox Proportional Hazards Regression Model of Significant Predictors of Death or Heart Failure	0	10	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	7.4635525	5.5610213	84.877144	61.802364	-22.862207
34	34	Results of Multivariable Modeling: Hazard Ratios, 95% Confidence Intervals and p Values for Significant Multivariable Predictors of Outcome in Models That Incorporate Echocardiographic, Clinical and Hemodynamic Variables	0	15	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	6.406329	4.4255433	90.66761	36.830265	-37.72038
35	35	Differences Among End-Diastolic Volume, End-Systolic Volume, Ejection Fraction and Left Ventricular Mass as Revealed on Cine MRI and Real-Time MRI legend	0	15	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	8.434353	-2.2116344	127.388725	-13.289686	-69.38082
36	36	Analysis of Significance and Prognostic Value of End-Diastolic Volume, Stroke Volume, Left Ventricular Ejection Fraction and Heart Rate Obtained During Dobutamine Infusion  a	0	14	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	8.882921	-2.5902681	76.14032	85.02048	-107.98202
37	37	Multivariate Logistic Regression Analyses to Assess the Predictive Value of Electrocardiographic Strain for the Presence of LVH, Abnormal LV Geometry and Abnormal LV Midwall Function in Patients With and Without Evident CHD    legend	5	9	coronari(47),arteri(17),patient(16),wall(15),detect(15),flow(13),diagnost(13),angiographi(13),comput(12),tomographi(12)	3.9819508	0.73595804	52.15461	127.920876	-9.920168
38	38	Final Multivariable Cox Regression Model of Predictors of Death Among 1,953 Children With DCM Not Undergoing Heart Transplantation	0	9	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	8.301655	4.9083505	84.78592	6.7218146	-20.989653
39	39	Multivariable Analysis for Independent Predictors of Survival in HFpEF Patients With CAD  (Cox Proportional Hazard Model)	0	10	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	6.603587	6.432061	84.622955	4.605337	22.487045
40	40	Cox proportional hazard analysis for the effect of covariates on survival in patients with chronic heart failure  (SOLVD)	0	7	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	7.146009	8.243703	-25.19229	18.372883	-11.761292
41	41	Multiple Linear Regression Analysis of Clinical and Hemodynamic Variables and Follow-Up Left Ventricular Ejection Fraction  legend	0	10	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	10.38973	-0.5529752	69.68574	84.682	-67.74736
42	42	Odds Ratios  (With 95% Confidence Intervals)  for Univariate Predictors of Mortality and for Those Same Predictors Together With Log10Troponin in Bivariate Models	0	9	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	5.9544754	3.144794	96.99982	5.5332994	-52.156425
43	43	Multivariate Cox Proportional Hazards Models for Prediction of Time to Recurrence legend	0	7	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	4.488573	4.8230643	15.978383	-60.169617	-96.65552
44	44	Univariate and Multivariate Analysis of Predictive Variables for log Vo 2max/kg2/3	0	5	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	2.865608	0.23841712	-62.73019	-144.40193	-164.29742
45	45	Cox Proportional Hazard Models for MR-proANP and NT-proBNP to Predict Survival in Different Subgroups of Patients With Chronic Heart Failure  (Derivation and Validation Samples Combined)	0	16	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	6.9267526	9.625693	90.773186	32.757385	3.598703
46	46	Computer Directed and Clinically Directed Stepwise Multiple Logistic Regression and Cox Proportion Hazard Analysis of Determinants of Hard Events in Medically Treated Patients legend	0	12	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	11.644342	7.1801596	52.908276	84.47861	3.2905886
47	47	Multivariate analysis of predictors of ventricular tachycardia, sudden death, and atrial flutter/fibrillation after repair of tetralogy of Fallot	0	13	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	12.301235	4.8814898	85.748795	38.511967	-150.18767
48	48	Unadjusted Cox Proportional Hazards Regression Analysis of Predictors of Death Among 1,953 Children With DCM Not Undergoing Heart Transplantation	0	11	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	8.9257345	5.4981384	88.962265	-66.91404	-89.85276
49	49	Multivariate Cox Regression Analyses for Peak Vo 2and Ve/Vco 2Slope	0	5	regress(33),model(31),hazard(24),ventricular(23),multivari(23),analysi(23),proport(21),death(21),valu(21),mortal(20)	2.673183	0.77788574	-42.57802	26.266237	-98.06517
50	50	Potential effect of the internet on physical activity interventions  (based on effect estimates from web-based physical activity interventions and other physical activity interventions)  and the potential effect of mobile phones on physical activity interventions  (based on effect estimates from telephone-based physical activity interventions and from other physical activity interventions) , by country income	1	36	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-15.383671	0.5561474	45.63049	-75.58957	-66.93554
51	51	Analysis of trends from 19992002 and 200306 for government health expenditure as source  (GHE-S) ; share of general government expenditure spent on health  (GHE-S/GGE) ; share of gross domestic product  (GDP)  spent by government  (GGE/GDP) ; and GDP	2	17	cancer(27),year(25),health(15),incid(14),surviv(13),develop(13),standardis(13),ratio(13),type(12),countri(12)	-6.8240457	8.9722805	64.68869	-1.2504975	-131.0327
52	52	Changes between 2012 and 2017 in the modern contraceptive prevalence rate  (mCPR) , unmet need for modern methods, demand satisfied with modern methods, and the number of women of reproductive age who are married or in a union using modern methods of contraception	1	20	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-24.22217	-2.4032218	-88.48458	14.903282	-95.47482
53	53	Postprandial Changes of Nitrates/Nitrites, Lipoperoxides, and 8-epi Prostaglandin Plasma Levels After the Ingestion of a Phenol-Rich Olive Oil Meal  (400 ppm)  as Compared to a Low Phenol Olive Oil Meal  (80 ppm)	1	17	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-20.535402	-16.032675	15.232465	-103.41379	-31.720966
54	54	Analysis of association between receipt of financial assistance from Janani Suraksha Yojana and intervention coverage and health outcomes by use of two analytical approaches by high-focus, northeast, and non-high-focus states	1	16	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	29.027655	-3.332284	49.988358	-3.5004907	-67.41207
55	55	Number  (millions)  of women with an unmet need for modern methods and proportion of those wanting to avoid pregnancy with unmet need for modern methods, by region and subregion and by country income, in 2003, 2008, and 2012	1	19	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-22.003387	-1.9434241	-1.6289747	-62.6863	-60.62882
56	56	Aggregate official development assistance to maternal, newborn, and child health, to child health per child, and to maternal and newborn health per livebirth in 2005 and 2006, and percentage change for the two categories between 2003 and 2006	2	18	cancer(27),year(25),health(15),incid(14),surviv(13),develop(13),standardis(13),ratio(13),type(12),countri(12)	25.173565	-6.900714	75.22054	-37.2812	87.17767
57	57	Official development assistance to child health per child and to maternal and neonatal health per livebirth, total to maternal, newborn, and child health in 2007 and 2008, and trends statistics, 200308	2	17	cancer(27),year(25),health(15),incid(14),surviv(13),develop(13),standardis(13),ratio(13),type(12),countri(12)	25.073002	-7.0018992	53.546562	-43.262226	96.23089
58	58	Official development assistance to maternal, newborn, and child health by aid modality and project purpose for the 68 Countdown priority countries, 200308	2	13	cancer(27),year(25),health(15),incid(14),surviv(13),develop(13),standardis(13),ratio(13),type(12),countri(12)	23.40715	-5.540627	-46.149387	7.2220025	-68.59408
59	59	Official development assistance to maternal, newborn, and child health to the 74 Countdown priority countries by type of aid and purpose of projects between 2003 and 2010	2	13	cancer(27),year(25),health(15),incid(14),surviv(13),develop(13),standardis(13),ratio(13),type(12),countri(12)	22.787165	-5.3685246	89.274796	-33.73562	121.91098
60	60	Effects of varying selected assumptions on the estimated additional annual running costs of providing child survival interventions at universal coverage, from reported levels in 2000  (US$5134 million)	1	18	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-16.865131	-2.041004	51.619507	-44.036045	-91.43368
61	61	Time-series cross-sectional regression results for government health expenditure as source  (GHE-S)  as a share of gross domestic product  (GDP)  for countries in Global Burden of Disease developing regions based on the Arellano-Bover/Blundell-Bond model	2	19	cancer(27),year(25),health(15),incid(14),surviv(13),develop(13),standardis(13),ratio(13),type(12),countri(12)	-6.1083817	8.677727	48.409397	-2.7652645	-108.98253
62	62	Modern contraceptive prevalence rate  (mCPR) , unmet need for modern methods, and demand satisfied with modern methods in 2017 for 68 Family Planning 2020 countries	1	16	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-24.04324	-2.4135795	-77.5276	-1.7598066	-104.884926
63	63	Numbers and incident rate ratios for recorded referrals and identifications of women experiencing domestic violence in general practice and domestic violence referrals received by specialist agencies, 12 months after intervention	2	11	cancer(27),year(25),health(15),incid(14),surviv(13),develop(13),standardis(13),ratio(13),type(12),countri(12)	0.69600993	4.865373	-5.8827567	-157.03566	-8.248065
64	64	Number  (millions)  of women using modern methods and proportion of those wanting to avoid pregnancy using modern methods, by region and subregion and by country income in 2003, 2008, and 2012	1	15	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-21.857317	-1.4505831	-10.050128	-49.60111	-76.03896
65	65	Estimated annual running costs of providing preventive interventions for child survival at 2000 coverage levels and universal coverage levels	1	14	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-17.2286	-2.6600149	51.143284	-60.395973	-111.85095
66	66	Antipneumococcal IgG antibody responses 1 month after booster vaccination with PHiD-CV and DTPa-HBV-IPV/Hib with or without prophylactic administration of paracetamol  (ATP immunogenicity cohort)	6	12	event(78),advers(70),treatment(66),grade(30),group(29),popul(28),patient(26),safeti(22),emerg(22),relat(17)	2.9333858	-19.604252	-40.24189	-71.755875	-98.539154
67	67	Official development assistance to maternal, newborn, and child health by type and source of aid flow for the 68 Countdown priority countries, 200308	2	12	cancer(27),year(25),health(15),incid(14),surviv(13),develop(13),standardis(13),ratio(13),type(12),countri(12)	22.480606	-6.2936068	-21.621052	30.03397	-70.086494
68	68	Health service resource use: mean  (SD)  resource use per patient and unit costs of resource items by type of care  (UK, 2009 prices)	1	11	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-3.7413247	-3.3574746	-27.6529	-118.76185	-138.18764
69	69	Antibodies to neuronal antigens in cerebellar syndromes   Sera were screened by routine immunohistochemistry on frozen sections of rat cerebellum and positive staining patterns1 were confirmed, as appropriate, by western blotting on rat cerebellar extracts or recombinant Hu or Yo polypeptides. VGCC antibodies were measured by immunoprecipitation of 125I--conotoxin MVIIC-labelled VGCCs extracted from human cerebellum,  2   and antibodies to glutamic acid decarboxylase measured with a commercial kit  (RSR Ltd, Cardiff, UK) .	3	34	risk(49),score(37),stroke(27),associ(19),factor(19),patient(17),ischaem(14),vasc(14),accord(13),studi(12)	-1.0354756	4.40404	-65.114105	-27.71023	-144.43314
70	70	Direct health-care costs attributable to physical inactivity paid by the public sector, private sector, and households, by country and WHO region  (in 1000 Int$, 2013)	1	15	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-2.5905046	3.1024709	-5.611196	-39.483887	-129.07603
71	71	Ranking of research priorities for development of interventions to reduce stillbirths in low-income and middle-income countries	1	8	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-17.567951	2.0229394	48.62669	133.33788	-80.37503
72	72	Rankings of research priorities for implementation of interventions to reduce stillbirths in low-income and middle-income countries by 2015	1	9	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-17.549055	2.0284474	48.80664	-50.632202	-40.071854
73	73	Worldwide official development assistance to maternal, newborn, and child health by type of aid and purpose of projects between 2003 and 2006	2	11	cancer(27),year(25),health(15),incid(14),surviv(13),develop(13),standardis(13),ratio(13),type(12),countri(12)	23.217207	-4.6468215	-96.359474	-88.71628	-73.191216
74	74	Official development assistance to reproductive health to the 74 Countdown priority countries by type of aid and purpose of projects, 200910	2	10	cancer(27),year(25),health(15),incid(14),surviv(13),develop(13),standardis(13),ratio(13),type(12),countri(12)	22.002691	-5.023485	-21.133595	0.111343026	-82.90759
75	75	OPA responses 1 month after booster vaccination with PHiD-CV and DTPa-HBV-IPV/Hib with or without prophylactic administration of paracetamol  (ATP immunogenicity cohort)	6	11	event(78),advers(70),treatment(66),grade(30),group(29),popul(28),patient(26),safeti(22),emerg(22),relat(17)	3.0362647	-19.355001	-51.574066	-94.32174	-98.644806
76	76	Estimated number of neonatal deaths in 75 countries by region that could be averted by universal  (99% coverage)  delivery of all  *   evidence-based interventions	1	11	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-14.34912	0.52770984	29.607904	-96.820984	-77.35408
77	77	Percentage distribution of women in developing countries using modern contraceptives, by type of method, region and subregion, and country income, in 2003, 2008, and 2012	1	9	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-21.332338	-0.514314	-27.210548	-34.41269	-88.15214
78	78	Antipneumococcal IgG antibody responses 1 month after primary vaccination with PHiD-CV, DTPa-HBV-IPV/Hib, and human rotavirus vaccine with or without prophylactic administration of paracetamol  (ATP immunogenicity cohort)	6	15	event(78),advers(70),treatment(66),grade(30),group(29),popul(28),patient(26),safeti(22),emerg(22),relat(17)	2.6721876	-20.79381	1.3075418	4.0173383	-153.97328
79	79	Estimated annual running costs of delivering treatment interventions for child survival at 2000 coverage levels and universal coverage levels	1	14	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-17.29651	-2.7588596	-66.56222	2.336047	172.13724
80	80	Neglected low-cost opportunities and high-cost interventions in south Asia and sub-Saharan Africa	1	9	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-3.718594	1.7654847	24.069647	-27.651438	-51.79879
81	81	Estimates and uncertainty intervals of the number of MWRA  (millions)  aged 1549 years, for total contraceptive use, unmet need, total demand, and unmet need for modern methods, for 2010 and 2015	1	13	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-22.07823	-3.2290306	-2.0258229	-70.78372	-35.175457
82	82	Serum-antibody concentrations against capsular polysaccharide of Haemophilus influenzae type b  (PRP)  in Chilean infants given different primary immunisation regimens of PRP-T and PRP-CRM197 conjugate vaccines	6	15	event(78),advers(70),treatment(66),grade(30),group(29),popul(28),patient(26),safeti(22),emerg(22),relat(17)	-1.3042781	1.3570151	-85.81644	-66.032684	-154.2278
83	83	Estimated odds ratios  (95% CI)  for prevalence of respiratory symptoms and decrease in peak expiratory flow  (PEF)  with increase in air pollutants in children with BHR and relatively low serum total IgE  (n=67)	1	15	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-11.9038925	20.042593	136.7696	-31.396723	76.057625
84	84	Official development assistance to maternal, newborn, and child health by donor for the 68 Countdown priority countries, 200308	2	10	cancer(27),year(25),health(15),incid(14),surviv(13),develop(13),standardis(13),ratio(13),type(12),countri(12)	23.113148	-6.2968717	-25.046139	10.221918	-51.7991
85	85	Change in numbers of sexual partners and prevalence of sexual practices, behaviours, and attitudes in Natsal-3 and Natsal-1 relative to Natsal-2, by sex	1	13	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	0.008478016	0.61970353	190.27519	-29.286732	13.944268
86	86	Birthweights of children born to mothers with chronic pregnancy-associated P falciparum malariaaccording to mothers' plasma IgG concentration with specificity for type of VSA	1	11	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	8.490994	12.735293	8.046009	96.78699	3.2564626
87	87	Estimated odds ratios for prevalence of respiratory symptoms and decrease in peak expiratory flow  (PEF)  with increase in air pollutants in children without BHR but with relatively high serum total IgE  (n=104)	1	17	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-12.01012	20.433084	1.4944384	50.464275	-135.19801
88	88	AUC of the Different Parameters After the Ingestion of a Phenol-Rich Olive Oil Meal  (400 ppm)  as Compared to a Low Phenol Olive Oil Meal  (80 ppm)	1	11	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-20.534351	-16.026335	-38.224716	58.473858	-108.02334
89	89	Estimated preterm birth rates and total number of preterm births for 2010, by Millennium Development Goal region	1	7	intervent(19),modern(13),women(12),method(12),estim(12),level(11),incom(11),high(9),countri(9),region(8)	-8.6584015	-12.076055	51.086884	-106.02225	-127.84735
