,index,table_title
91,91,C-Reactive Protein Concentrations (mg/l) as a Univariate Predictor of Death or Nonfatal Myocardial Infarction at 30 Days and 12 Months According to Prior Aspirin Treatment: Data Are Median Values (Interquartile Range)
92,92,Odds Ratios for Association of Maximum C-Reactive Protein (CRP) Concentrations With 30-Day and 12-Month Event-Free Survival According to Prior Aspirin Treatmentlegend
93,93,Baseline Clinical Characteristicslegend
94,94,Lesion and Procedural Characteristics at the Time of Interventionlegend legend
95,95,Patients’ Baseline Demographics. Doses of Levosimendan Refer to Continuous Infusionlegend
96,96,Patients’ Baseline Hemodynamics and Changes After 24 h Infusion of Study Medicationlegend legend
97,97,"Plasma Neurohormone Levels at Baseline, After 30 min (end of bolus injection phase), 8 h, and at 26 h (2 h After Completion of Infusion Phase)legend"
98,98,Patient Characteristicslegend
99,99,Patient Populationlegend legend
100,100,Characteristics of the Treated Coronary Arterieslegend
101,101,Clinical Characteristicslegend
102,102,Patient Characteristics at Entry According to Treatment Group
103,103,Changes in Closed or Partially Closed (≥50%) Venous Segments After 12 Monthslegend
104,104,Degree of Postthrombotic Syndrome as Defined by Venographic Criteria∗After 12 Monthslegend
105,105,Follow-up Results After 12 Months Comparing Patients With and Without Postthrombotic Syndromelegend
106,106,Efficacy and Safety Results After 7 Days According to Venographic Findingslegend
107,107,"Clinical, Angiographic and Ergometric Features of Symptomatic (Group P) and Asymptomatic (Group A) Patients During Myocardial Ischemialegend legend"
108,108,The Effect of Tranilast on the Vessel Response to Balloon Injurylegend
109,109,Baseline Characteristics and Final Diagnosis According to Whether Complete One-Year Follow-Up Information was Availablelegend
110,110,Study Population Characteristicslegend
111,111,Systemic Hemodynamicslegend
112,112,Coronary Diameter and Blood Flowlegend
113,113,Operative Characteristics
114,114,The Effect of Tranilast on the Vessel Response to Stent Injurylegend
115,115,Effects of L-Arginine on Brachial Artery Endothelial Functionlegend
116,116,Effects of L-Arginine on Cell Adhesion Molecule Expression on Leukocyteslegend
117,117,Results of RFA of Inappropriate Sinus Tachycardialegend
118,118,Baseline Characteristics of Study Grouplegend
119,119,Clinical Features of Patients With Coronary Artery Diseaselegend legend
120,120,Atherosclerotic Events and Macrophage Colony–Stimulating Factor Concentrations in Study Patientslegend
121,121,Coronary Angiographic Findings and Macrophage Colony–Stimulating Factor Concentrations in Patients With Acute Coronary Eventslegend
122,122,Cox Proportional Hazards Regression Analysis for the Predictors of Acute Coronary Eventslegend
123,123,Clinical Features of Patients With a Macrophage Colony–Stimulating Factor (MCSF) Concentration ≥950 pg/ml or <950 pg/mllegend legend
124,124,Study Populationlegend
125,125,Incomplete Drug Infusion
126,126,"Effects of Placebo and Dipyridamole (15 mg in 30 min) on Hemodynamic, Echocardiographic and Electrocardiographic Parameterslegend"
127,127,Results of Exercise Stress Echocardiography After Placebo and Dipyridamole in the Total Population
128,128,Baseline Characteristics
129,129,Technical Results of Angioplastylegend
130,130,Characteristics of Patients Without Follow-up Catheterization
131,131,Initial and Convalescent LV Function by Treatment Group and by Patency Grade
132,132,Adverse Outcomes
133,133,Association of Traditional Risk Factors With Presence of CAD
134,134,Association of CAD Risk Factors With CRP∗
135,135,"Demographic, Clinical and Laboratory Characteristics of the Study Grouplegend"
136,136,"Quantitative Angiographic Data of the Proximal LAD, Pre- and Postintervention, and at the Time of Studylegend"
137,137,Multivariable Analysis of Change in Luminal Diameter in Response to Maximal Acetylcholine Infusion
138,138,Baseline Characteristics and Heparin Dosing for the Study Groups
139,139,Incidence of Major Morbidity and Mortality
140,140,Coagulation Measurements Over Time Among Patients Randomized to Immediate Discontinuation of Heparinlegend
141,141,Coagulation Measurements Over Time Among Patients Randomized to Intravenous Heparin Weaning
142,142,Coagulation Measurements Over Time Among Patients Randomized to Subcutaneous Heparin Weaning
143,143,Data at Different Levels of Afterload for 10 Piglets
144,144,Piglet Data After Vagotomylegend
145,145,Adult Pig Data After Vagotomy
146,146,Hemodynamic Findingslegend
147,147,"Clinical, Angiographic Findings and CFR Values by Both IDFW and Enhanced TTElegend"
148,148,Univariate Predictors of Cardiac Mortality in Medically Treated Patientslegend legend
149,149,Patient Characteristicslegend
150,150,Baseline Characteristics of the Patients
151,151,Preoperative Patient Characteristicslegend
152,152,Conduits Used for Coronary Revascularizationlegend
153,153,Causes of Operative Death
154,154,Operative Morbiditylegend
155,155,Conduits Used for Coronary Revascularization and Occurrence of Chest Wound Infectionslegend
156,156,"Clinical, Anatomic and Hemodynamic Features in the Two Groups of Patientslegend"
157,157,Events During the Total Follow-up Period
158,158,"Values of ST-Segment Shift, Cardiac Pain and Average Peak Velocity in the Contralateral Coronary Artery in the Two Groups of Patientslegend"
159,159,"Number of HLA Mismatches in A, B and DR Locilegend"
160,160,Comparison Between Taiwan and Western Series∗ legend
161,161,Clinical Characteristics of Study Patientslegend legend
162,162,Ischemic Events and Angiographic Parameterslegend legend
163,163,In-Hospital Complicationslegend legend
164,164,Functional Outcomes (Whole Patients)legend legend
165,165,Functional Outcomes (Cases of Onset–Reperfusion Time ≤6 h)legend
166,166,Clinical and Echocardiographic Data in DSE Subsetslegend
167,167,Medical Therapy vs. Revascularization in Patients With Inducible Ischemialegend
168,168,"Data in Medically Treated Patients With Hard, Soft and No Eventslegend"
169,169,Computer Directed and Clinically Directed Stepwise Multiple Logistic Regression and Cox Proportion Hazard Analysis of Determinants of Hard Events in Medically Treated Patientslegend
170,170,Hemodynamics in Each Grouplegend
171,171,Summary of Infarct Size Data
172,172,Hemodynamic Changes With Intervention
173,173,Changes in Aortic Diameter and Wall Thickness in Pacing-Induced Heart Failure (PHF)
174,174,Pressure–Dimension and Stress–Strain Relations: Effects of Pacing-Induced Heart Failure (PHF) and Pharmacologic Agents
175,175,Baseline Clinical Characteristics in the Two Groups
176,176,Procedural Characteristics in the Two Groups legend
177,177,Events at 30 Days legend
178,178,Composite Event Rates at 30 Days and During the Total Follow-up Period After Exclusion of Diabetic Subjects
179,179,Predictors of Medium-Term Outcome in Uni- and Multivariate Analysis
180,180,Baseline Characteristics
181,181,Combined Trial Results for the 30-Day Death/Myocardial Infarction/Urgent Intervention Outcome by Case Report Form (CRF)-Defined Lesion Morphologylegend
182,182,Baseline Characteristics of the Patientslegend
183,183,Plasma l-Arginine and Dimethylarginine Concentrations legend legend
184,184,"Correlation of Single-Photon Emission Computed Tomography (SPECT) With Harmonic Myocardial Contrast Echocardiography in the Triggered Mode, According to the Correlation of SPECT with Wall Motion Analysis (After Exclusion of Nondiagnostic Studies)legend"
185,185,Characteristics of Ventricular Tachycardia and Efficacy of Drugs legend
186,186,Clinical Characteristics and Coronary Flow Velocity Data legend
187,187,Clinical Characteristics of Patients in Each Randomized Dosage Group legend
188,188,"Intensity of Single-Photon Emission Computed Tomographic Perfusion Defects, Wall Motion Abnormalities and Contrast Effects on Patients in Each Randomized Dosage Grouplegend"
189,189,Comparison of Sensitivity and Specificity of Myocardial Contrast Effect for Prediction of Moderate and Severe Single-Photon Emission Computed Tomographic Perfusion Defects at Each Dose and With Each Imaging Technique legend
190,190,Patient-Weighted Data Comparing the Sensitivity and Specificity of Myocardial Contrast Effect for Prediction of Moderate and Severe Single-Photon Emission Computed Tomography Perfusion Defects at Each Dose and With Each Imaging Technique legend
191,191,"Subanalysis of Sensitivity, Specificity and Feasibility of Harmonic Myocardial Contrast Echocardiography for Detection of Patients With Moderate and Severe Single-Photon Emission Computed Tomographic Defects legend"
192,192,Hemodynamic Data
193,193,Definitions of Events and Derived Time Indexes
194,194,"Time Indexes, Aortic Pressure and LAD Flow"
195,195,Hemostasis Parameters
196,196,Perinatal and Postnatal Data legend
197,197,Effect of Incremental Dobutamine on Various Indices in Control and With Stenosislegend
198,198,Arterial Pressure Response to Magnesium or Saline (control group) Infusionlegend
199,199,"Hemodynamic, Myocardial Blood Flow and Myocardial Contrast Echocardiographic Data From Stenosed Bed in Ten Group I Dogslegend"
200,200,"Hemodynamic, Myocardial Blood Flow and Myocardial Contrast Echocardiographic Data From Stenosed Bed in Eight Group II Dogs legend"
201,201,Hemodynamic Effects of AFO150 in Group I and II Dogs∗ legend
202,202,Characteristics of Study Patients∗ legend
203,203,Systemic Hemodynamic Variables legend
204,204,Baseline Characteristics of Patients in RESTORE Angiographic Substudy∗
205,205,Six-Month End Points: RESTORE Angiographic Substudy legend
206,206,Initial Angiographic and Procedural Characteristics: RESTORE Angiographic Substudy legend
207,207,"Vascular Access Site Complications by Treatment Received in 3,871 Study Patients"
208,208,Flow Data: RESTORE Angiographic Substudy legend
209,209,Six-Month Follow-Up: RESTORE Angiographic Substudy
210,210,Patient Characteristics legend
211,211,Clinical Characteristics of Study Subjectslegend
212,212,Left Ventricular Characteristics legend
213,213,Hemodynamic Data During Positron Emission Tomography legend
214,214,Univariable Predictors of Vascular Access Site Complications: Baseline Characteristics and Procedural Characteristics
215,215,Univariable Predictors of Vascular Access Site Complications: Postprocedural Characteristics
216,216,Multivariable Analysis With Baseline Patient Features and Procedural Characteristics legend
217,217,"Hemodynamic and Blood Gas Responses to Exercise, Dobutamine and Nitric Oxide in 11 Patients With Primary Pulmonary Hypertension a"
218,218,Hemodynamic and Blood Gas Responses to Prostacyclin in Six Patients
219,219,Effects of Intracoronary OPC-18790 on Heart Rate and Vascular Load
220,220,"Effects of Intracoronary OPC-18790 on Systolic Function, Ventriculoarterial Coupling and Myocardial Efficiency"
221,221,Effects of Intracoronary OPC-18790 on Diastolic Function
222,222,Baseline Characteristics of Patients a
223,223,In-Hospital Clinical Course and Adverse Events a
224,224,Hemodynamic Results
225,225,One-Year Follow-Up Data
226,226,Study Sample
227,227,Characteristics Associated With Patients Who Received Heparin
228,228,"Factors Associated With Use of Heparin for Acute Myocardial Infarction, Based on Multiple Logistic Regression With Backward Stepwise Selection a"
229,229,Odds of 30-Day Mortality of Patients Treated With Heparin Compared With Patients Not Treated With Heparin a
230,230,Effects of Procedure and Drugs on Coronary Diameters
231,231,Wall Thickness and Systolic Thickening
232,232,Clinical Characteristics and Cardiac Catheterization Data
233,233,Phasic Flow Velocity Characteristics of Recipient Left Anterior Descending Coronary Artery Distal to Anastomosis and Graft
234,234,Left Ventricular Functional Response to Inotropic Modulation
235,235,Clinical Characteristics of 85 Study Patients
236,236,"Log(ED50), Hemodynamic and Blood Glucose Values Before and After Glibenclamide and l-NAME in 10 Dogs"
237,237,Study Group Characteristics
238,238,Baseline Hemodynamic Variables and Responses to Nitroprusside
239,239,Clinical Data of the 30 Patients With Isolated Left Anterior Descending Coronary Artery Lesions
240,240,"Angiographic, Intracoronary Doppler Flow Velocity and Dipyridamole Stress Echocardiographic Data for 30 Study Patients"
241,241,Results of Discriminant Analysis
242,242,Coronary Artery Morphometric Measurements in 21 Stented Vessels
243,243,Hemodynamic Responses Before and After Addition of Atropine During Dobutamine Stress in 73 Patients
244,244,Rest and Peak Stress Characteristics Between Exercise Immediately After Treadmill Exercise and Peak Dobutamine–Atropine Infusion in 85 Patients
245,245,Echocardiographic Findings and Clinical Characteristics in Patients According to the Development of Hypotensive Response
246,246,"Responses of Hemodynamic Variables, Regional Myocardial Function, Perfusion and Metabolism to Incremental Doses of Dobutamine at Each Stage With or Without Esmolol and Atropine"
247,247,Demographics of 29 Study Patients
248,248,Lesion Characteristics in 29 Study Patients
249,249,"Effect of Abciximab Administration on Target Vessel Stenosis, Thrombus Grade and TIMI Flow Grade"
250,250,Characteristics and Results of the Study Subjects
251,251,Hemodynamic Data During Positron Emission Tomographic Scanning [mean (SD)]
252,252,Results of Discriminant Analysis for Rest–Redistribution Thallium-201 Single-Photon Emission Computed Tomography
253,253,Results of Discriminant Analysis for Baseline–Nitrate Technetium-99m Sestamibi Single-Photon Emission Computed Tomography
254,254,Baseline and Procedural Characteristics of Patients With Unstable Angina in the EPIC Trial
255,255,Thirty-Day Outcome Among Patients With Unstable Angina in the EPIC Trial
256,256,Bleeding Complications and Hematologic Values for Patients With and Without Unstable Angina in the EPIC Trial
257,257,Outcome Among Patients With Unstable Angina From Study Entry Through 6 Months
258,258,Outcome Among Patients With Unstable Angina From 30 Days Through 6 Months
259,259,Baseline Patient Characteristics
260,260,Results of Multivariate Regression Analysis of Hemodynamic Determinants of Systolic Bulging
261,261,Baseline Demographic and Angiographic Data
262,262,Patient Characteristics at Peak Stress
263,263,Clinical Characteristics and Risk Factors in Patients With Stable Angina
264,264,Clinical Characteristics and Risk Factors in Patients With a Previous Myocardial Infarction
265,265,Clinical Characteristics and Risk Factors in Patients With Unstable Angina
266,266,Prevalence of Morphologic Features of Plaque in the Different Groups
267,267,Myocardial Contractile Effects of Intracoronary l-Arginine
268,268,Development of Angiographically Apparent Coronary Artery Disease in 41 Patients With Baseline Intracoronary Ultrasound Evaluations
269,269,Clinical Profile of Patients Undergoing Coronary Angioplasty (PTCA group)
270,270,Clinical Profile of Patients Undergoing Coronary Arteriography (control group)
271,271,Summary of Heart Rate and Systolic Blood Pressure Response in 14 Patients With Paradoxical Sinus Deceleration
272,272,"Summary of Symptoms, Wall Motion Abnormalities and Electrocardiographic and Angiographic Findings in 14 Patients With Paradoxical Sinus Deceleration"
273,273,"Clinical Variables and Medication in Patients Undergoing Dobutamine Stress Echocardiography, According to Heart Rate Response"
274,274,"Symptoms and Heart Rate, Electrocardiographic and Echocardiographic Variables During Dobutamine Stress Echocardiography in Patients With and Without a Decrease in Heart Rate"
275,275,Hemodynamic Data (mean ± SEM)
276,276,Regional Function in Left Anterior Descending Coronary Artery Territory (mean ± SEM)
277,277,Regional Function in Left Circumflex Coronary Artery Territory (mean ± SEM)
278,278,Hemodynamic Variables and Regional Function Before Each Intervention
279,279,Hemodynamic Data and Regional Function at an Ischemic Segment End-Diastolic Length of 10 Millimeters (Mean ± SEM)
280,280,Effects of Dobutamine and MCI-154 on Hemodynamic Variables
281,281,Effects of Dobutamine and MCI-154 on Mechanoenergetic Variables
282,282,Variables of Vo 2Relation During Control Conditions
283,283,Effects of MCI-154 on Vo 2–PVA Relations
284,284,Effects of Dobutamine and MCI-154 on Emax and PVA-Independent Vo 2
285,285,Comparison of Intimal Thickening Detected by Intracoronary Ultrasound at Baseline in Younger and Older Donor Groups
286,286,Multivariate Stepwise Regression Analysis of Time to Detection of Angiographic Allograft Coronary Artery Disease in a Consecutive Series of 233 Heart Transplant Recipients
287,287,Comparison of Risk Factors in Older and Younger Donor Groups
288,288,Baseline Characteristics of Patients Undergoing Percutaneous Transluminal Coronary Angioplasty or Directional Coronary Atherectomy
289,289,Procedural Details of Patients Undergoing Percutaneous Transluminal Coronary Angioplasty or Directional Coronary Atherectomy
290,290,Multivariable Logistic Regression Modeling for Predictors of Non-Q Wave Myocardial Infarction
291,291,Thirty-Day Outcomes by Treatment Group and Interventional Device Used
292,292,Bleeding Complications by Treatment Group and Interventional Device Used
293,293,Six-Month Outcomes by Treatment Group and Interventional Device
294,294,C-Type Natriuretic Peptide-Mediated Coronary Relaxation
295,295,Cardiac Hemodynamic Responses to C-Type Natriuretic Peptide
296,296,Cardiac Hemodynamic Responses to HS-142-1
297,297,Cardiac Hemodynamic Responses to l-NMMA Infusion
298,298,Table 1 Patient Characteristics and Predictors of Nonpersistence
299,299,Table 2 Patient Characteristics According to Geographic Region
300,300,Table 3 Reasons for Discontinuation of DE Treatment at 2 Years
301,301,Table 4 Main Predictors of DE Nonpersistence
302,302,Table 1 Baseline Characteristics
303,303,Table 2 Hospital Presentation
304,304,Table 3 Coronary Artery Angiographic Characteristics
305,305,Table 4 Potential Predisposing Factors
306,306,Table 5 Involvement With Noncoronary FMD
307,307,Table 6 In-Hospital and Follow-Up MACE
308,308,Table 7 Medications at Discharge and Last Follow-Up
309,309,Table 8 Univariate and Multivariate Predictors of Recurrent SCAD
310,310,Characteristics of Smokers With AMI According to Treatment Group ⁎
311,311,Serious Adverse Events and Most Common Side Effects According to Treatment Group
312,312,"Patient Characteristics, Clinical Laboratory Parameters, and Immunosuppressive and Hypolipidemic Therapy in CAV-Negative and CAV-Positive Heart Transplant Recipients"
313,313,"Comparison of EPC Number, EPC Function, and HPC Number Between CAV-Negative and CAV-Positive Patients"
314,314,Comparison of CEC and Circulating Endothelial Microparticles Between CAV-Negative and CAV-Positive Patients
315,315,Discrimination Between CAV-Positive and CAV-Negative Transplant Recipients Based on Receiver-Operating Characteristic Analysis
316,316,Logistic Regression Model for Prediction of CAV
317,317,Demographics and Background Therapy
318,318,Secondary Efficacy End Points
319,319,Summary of AEs
320,320,Relatives of 38 HLHS Probands Affected With CVM
321,321,"Clinical Characteristics, Lesion Morphology and Stent Formlegend"
322,322,Valve Phenotype in 38 HLHS Probands
323,323,Hypoplastic Left Heart Syndrome and CVM λR
324,324,Morphometric Data and Quantification of the Inflammatory Infiltrates of Patients With ARVD and Myocarditis in Normokinetic and Ipo-Dyskinetic Right Ventricular Biopsy Sites
325,325,Electrocardiographic-Arrhythmic and Morphofunctional Parameters of Patients With ARVD Compared With Patients With Myocarditis
326,326,"Arrhythmic Profile, Histology, Treatment, and Follow-Up of 30 Patients With Clinical Profile of ARVD"
327,327,Clinical Features of Patients With Akinesia at Rest Who Did (Group A) and Did Not (Group B) Develop Dyskinesia With Exercise Echocardiography
328,328,Table 2 CT Scan Parameters (n = 75)
329,329,Exercise Echocardiographic Features of Patients With Akinesia at Rest Who Did (Group A) and Did Not (Group B) Develop Dyskinesia With Exercise Echocardiography
330,330,Predictors of Cardiac Death and Non-Fatal Acute Myocardial Infarction.
331,331,Predictors of All-Cause Mortality
332,332,Clinical and Echocardiographic Features of Patients With Akinesia at Rest Who Developed Dyskinesia Following Exercise (Group A) and Patients Who Developed Dyskinesia in Normal or Hypokinetic Myocardium and Did Not Have Akinesia at Rest (Group C)
333,333,Quantification and Location of Apoptotic Smooth Muscle Cells and Macrophages
334,334,Baseline Characteristics of All Patients
335,335,Quantitative Coronary Angiographic Results
336,336,Quantitative Intravascular Ultrasound Resultslegend
337,337,Baseline Demographic and Clinical Characteristics (mean ± SEM)legend legend
338,338,Global Assessment Data
339,339,Change in NYHA Datalegend
340,340,"Holter Monitoring Data, Absolute Values and Change From Baselinelegend"
341,341,Adverse Events by Treatment Grouplegend
342,342,"Clinical, Hemodynamic and Echocardiographic Characteristics of Patients With Valvular Heart Diseaselegend"
343,343,"Clinical, Hemodynamic and Echocardiographic Characteristics of Patients With Dilated Cardiomyopathylegend"
344,344,Clinical and Hemodynamic Characteristics of Patients Undergoing Heart Transplantation Because of End-Stage HF Caused by Ischemia (End-Stage ICM) or Dilated Cardiomyopathy (End-Stage DCM)legend
345,345,Clinical and Demographic Data of Patients With Diabetes Mellitus Versus Patients Without Diabetes Mellitus With Restenosis After Successful Coronary Atherectomylegend legend
346,346,Angiographic and Procedural Data of Patients With Diabetes Mellitus Versus Patients Without Diabetes Mellitus With Restenosis After Successful Coronary Atherectomylegend
347,347,Total and Segmental Areas of Coronary Restenotic Tissue From Patients With Diabetes Mellitus Versus Patients Without Diabetes Mellituslegend
348,348,Total and Segmental Areas of Coronary Restenotic Tissue From Patients With Diabetes Mellitus Treated With Insulin or Hypoglycemic Medication Versus Patients With Diabetes Mellitus Treated With Dietlegend legend
349,349,"Parental History of Premature CHD Death by Study, Age and Genderlegend"
350,350,"Symptomatic CHD by Study, Age and Gender in the Offspringlegend"
351,351,Association Between Parental History of Premature CHD Death and CHD in the Offspring in the Three Studieslegend
352,352,Lifestyle Characteristics According to Parental History of Premature CHD Death in Subjects Free of CHD in the Three Studieslegend
353,353,Prevalences of CHD Risk Factors by Study in Men aged 45 to 64 Yearslegend
354,354,Association Between Parental History of Premature CHD Death and CHD Risk Factors in the Offspring in the Three Studieslegend
355,355,Baseline Characteristics
356,356,Noninvasive Signs of Reperfusion
357,357,TIMI Grade 3 Flow in Infarct-Related Arteries in All Patients and in Subgroups With Noninvasive Signs of Reperfusion Treated with Placebo versus Dalteparin
358,358,Postthrombolytic Ischemic STVM Episodes 0–24 Hours and 6–24 Hours in All Patients and in Subgroups with Noninvasive Signs of Reperfusionlegend
359,359,Clinical Events Until Follow Up Day 21
360,360,"Mean and Maximum Lumen and Stent Measurements by QCA, IVUS and Histology"
361,361,Previously Reported In Vitro IVUS Validation Studies
362,362,Table 1 Cohort Characteristics
363,363,Table 2 Left Ventricular Resting Echocardiography
364,364,"Percentage of patients with at least one episode of hypoglycaemia, by treatment and concomitant sulphonylurea use"
